Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
13,1702985211373,19/12/2023 11:26:51,1702985211373,0,19/12/2023 11:26:51,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,11,Testing02,Testing,hvzr65,1,response,19_BURYVOLDY_BLOT_WAN.png,1876,1862.300000000003,1876,1876,1862.300000000003,1876,1,1876,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,34,1i-3_34,3,Testing02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,BLOT,WAN,19_BURYVOLDY_BLOT_WAN.png,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,19_BURYVOLDY_BLOT_WUNG.png,,,,WAN,WUNG,,18,29
14,1702985212406,19/12/2023 11:26:52,1702985212406,0,19/12/2023 11:26:52,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,12,Testing02,Testing,hvzr65,1,response,27_BESTSELLER_BLOT_WIM.png,1046.7999999996246,1031.699999999997,1046.7999999996246,1046.7999999996246,1031.699999999997,1046.7999999996246,1,1046.7999999996246,0,0,,Click Response,RightOption,3,object-86,1i-3,_,35,1i-3_35,3,Testing02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,BLOT,WAN,27_BESTSELLER_BLOT_WAN.png,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WAN.png,,,,WAN,WIM,,19,30
15,1702985214021,19/12/2023 11:26:54,1702985214021,0,19/12/2023 11:26:54,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,13,Testing02,Testing,hvzr65,1,response,06_MOM_BLOT_WUNG.png,1629.5999999999985,1613,1629.5999999999985,1629.5999999999985,1613,1629.5999999999985,0,1629.5999999999985,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,39,1i-3_39,4,Testing02,06_MOM,ASK,.png,06_MOM_ASK.png,BLOT,WUNG,06_MOM_BLOT_WUNG.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WUNG.png,,WAN,WUNG,WUNG,WIM,,19,31
16,1702985215221,19/12/2023 11:26:55,1702985215221,0,19/12/2023 11:26:55,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,14,Testing02,Testing,hvzr65,1,response,11_RONWAND_BLOT_WAN.png,1217.0999999996275,1214.199999999997,1217.0999999996275,1217.0999999996275,1214.199999999997,1217.0999999996275,0,1217.0999999996275,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,37,1i-3_37,4,Testing02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,BLOT,WAN,11_RONWAND_BLOT_WAN.png,11_RONWAND_BLOT_WUNG.png,11_RONWAND_BLOT_WUNG.png,11_RONWAND_BLOT_WAN.png,,WAN,WIM,WAN,WUNG,,19,32
17,1702985216133,19/12/2023 11:26:56,1702985216133,0,19/12/2023 11:26:56,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,15,Testing02,Testing,hvzr65,1,response,33_ROR_BLOT_WIM.png,914.8999999996304,898.5,914.8999999996304,914.8999999996304,898.5,914.8999999996304,0,914.8999999996304,0,0,,Click Response,RightOption,3,object-86,1i-3,_,38,1i-3_38,4,Testing02,33_ROR,ASK,.png,33_ROR_ASK.png,BLOT,WAN,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WIM.png,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WIM.png,,WIM,WUNG,WAN,WIM,,19,33
18,1702985219686,19/12/2023 11:26:59,1702985219686,0,19/12/2023 11:26:59,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,16,Testing02,Testing,hvzr65,1,response,42_ENGLAND_BLOT_WAN.png,3569.3999999996304,3559.300000000003,3569.3999999996304,3569.3999999996304,3559.300000000003,3569.3999999996304,1,3569.3999999996304,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,40,1i-3_40,4,Testing02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,BLOT,WAN,42_ENGLAND_BLOT_WAN.png,42_ENGLAND_BLOT_WUNG.png,42_ENGLAND_BLOT_WAN.png,42_ENGLAND_BLOT_WUNG.png,,WUNG,WIM,WAN,WUNG,,20,34
19,1702985222117,19/12/2023 11:27:02,1702985222117,0,19/12/2023 11:27:02,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,17,Testing02,Testing,hvzr65,1,response,21_TEACHHOG_BLOT_WIM.png,2441.0999999996275,2428.300000000003,2441.0999999996275,2441.0999999996275,2428.300000000003,2441.0999999996275,0,2441.0999999996275,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,44,1i-3_44,5,Testing02,21_TEACHHOG,ASK,.png,21_TEACHHOG_ASK.png,BLOT,WIM,21_TEACHHOG_BLOT_WIM.png,21_TEACHHOG_BLOT_WAN.png,21_TEACHHOG_BLOT_WAN.png,21_TEACHHOG_BLOT_WIM.png,,,,WIM,WAN,,20,35
20,1702985224390,19/12/2023 11:27:04,1702985224390,0,19/12/2023 11:27:04,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,18,Testing02,Testing,hvzr65,1,response,25_PROSECUTE_BLOT_WIM.png,2285.499999999811,2278.699999999997,2285.499999999811,2285.499999999811,2278.699999999997,2285.499999999811,0,2285.499999999811,0,0,,Click Response,RightOption,3,object-86,1i-3,_,41,1i-3_41,5,Testing02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,BLOT,WUNG,25_PROSECUTE_BLOT_WUNG.png,25_PROSECUTE_BLOT_WIM.png,25_PROSECUTE_BLOT_WUNG.png,25_PROSECUTE_BLOT_WIM.png,,WAN,WUNG,WUNG,WIM,,20,36
21,1702985227261,19/12/2023 11:27:07,1702985227261,0,19/12/2023 11:27:07,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,19,Testing02,Testing,hvzr65,1,response,05_AUROR_BLOT_WAN.png,2877.4000000000087,2860.800000000003,2877.4000000000087,2877.4000000000087,2860.800000000003,2877.4000000000087,1,2877.4000000000087,0,0,,Click Response,RightOption,3,object-86,1i-3,_,42,1i-3_42,5,Testing02,05_AUROR,ASK,.png,05_AUROR_ASK.png,BLOT,WUNG,05_AUROR_BLOT_WUNG.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WUNG.png,,WIM,WAN,WUNG,WAN,,21,37
22,1702985230606,19/12/2023 11:27:10,1702985230606,0,19/12/2023 11:27:10,157165,2,task-ajpl,,33777921,BLIND,9991372,,complete,,6581799da06cc0b539ad6584,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,20,Testing02,Testing,hvzr65,1,response,41_PIXIE_BLOT_WAN.png,3362.2999999996246,3360.0999999999913,3362.2999999996246,3362.2999999996246,3360.0999999999913,3362.2999999996246,0,3362.2999999996246,0,0,,Click Response,RightOption,3,object-86,1i-3,_,43,1i-3_43,5,Testing02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,BLOT,WIM,41_PIXIE_BLOT_WIM.png,41_PIXIE_BLOT_WAN.png,41_PIXIE_BLOT_WIM.png,41_PIXIE_BLOT_WAN.png,,WAN,WIM,WIM,WAN,,21,38
