Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
32,1712311854147,05/04/2024 10:10:54,1712315454147,1,05/04/2024 12:10:54,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,8,Training02,TrainingC,1ouhhw,3,continue,,1396.800000011921,1383.2999999999884,1396.800000011921,1396.800000011921,1383.2999999999884,1396.800000011921,1,1396.800000011921,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,06,1e-1i_06,2,Training02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,RUSP,WAN,12_SKEETER_RUSP_WAN.png,,RUSP WAN,12_SKEETER_ASK.png,12_SKEETER_DOTS.png,FICH WAN,RUSP WAN,RUSP WAN,FICH WAN,12_SKEETER_FICH_WAN.png,FICH WAN,,,,,
33,1712311860883,05/04/2024 10:11:00,1712315460883,1,05/04/2024 12:11:00,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,9,Training02,TrainingA,34efq7,1,response,RUSP WAN,1800.100000000035,6733.5,6749.400000017893,1800.100000000035,6733.5,6749.400000017893,1,1800.100000000035,4949.300000017858,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,10,1e-1i_10,3,Training02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,RUSP,WAN,19_BURYVOLDY_RUSP_WAN.png,,RUSP WAN,21_TEACHHOG_ASK.png,21_TEACHHOG_DOTS.png,RUSP WAN,WOUX WIM,RUSP WAN,WOUX WIM,21_TEACHHOG_WOUX_WIM.png,,WOUX WIM,,,,
34,1712311866092,05/04/2024 10:11:06,1712315466092,1,05/04/2024 12:11:06,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,9,Training02,TrainingB,2yfdu9,2,response,,5225.200000000012,5216.700000000012,5225.200000000012,5225.200000000012,5216.700000000012,5225.200000000012,1,5225.200000000012,0,0,,Click Response,Option B,5,object-246,1e-1i,_,10,1e-1i_10,3,Training02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,RUSP,WAN,19_BURYVOLDY_RUSP_WAN.png,,RUSP WAN,21_TEACHHOG_ASK.png,21_TEACHHOG_DOTS.png,RUSP WAN,WOUX WIM,RUSP WAN,WOUX WIM,21_TEACHHOG_WOUX_WIM.png,,WOUX WIM,,,,
35,1712311867244,05/04/2024 10:11:07,1712315467244,1,05/04/2024 12:11:07,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,9,Training02,TrainingC,1ouhhw,3,continue,,1161,1150.2000000000116,1161,1161,1150.2000000000116,1161,1,1161,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,10,1e-1i_10,3,Training02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,RUSP,WAN,19_BURYVOLDY_RUSP_WAN.png,,RUSP WAN,21_TEACHHOG_ASK.png,21_TEACHHOG_DOTS.png,RUSP WAN,WOUX WIM,RUSP WAN,WOUX WIM,21_TEACHHOG_WOUX_WIM.png,,WOUX WIM,,,,
36,1712311876099,05/04/2024 10:11:16,1712315476099,1,05/04/2024 12:11:16,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,10,Training02,TrainingA,34efq7,1,response,FICH WAN,2199.899999999965,8850.200000000012,8865.10000001191,2199.899999999965,8850.200000000012,8865.10000001191,1,2199.899999999965,6665.200000011944,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,09,1e-1i_09,3,Training02,32_QWC,ASK,.png,32_QWC_ASK.png,FICH,WAN,32_QWC_FICH_WAN.png,,FICH WAN,13_QUIBBLER_ASK.png,13_QUIBBLER_DOTS.png,FICH WAN,ZETH WUNG,FICH WAN,ZETH WUNG,13_QUIBBLER_ZETH_WUNG.png,,ZETH WUNG,,,,
37,1712311889866,05/04/2024 10:11:29,1712315489866,1,05/04/2024 12:11:29,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,10,Training02,TrainingB,2yfdu9,2,response,,13782.400000011898,13766.799999999988,13782.400000011898,13782.400000011898,13766.799999999988,13782.400000011898,1,13782.400000011898,0,0,,Click Response,Option B,5,object-246,1e-1i,_,09,1e-1i_09,3,Training02,32_QWC,ASK,.png,32_QWC_ASK.png,FICH,WAN,32_QWC_FICH_WAN.png,,FICH WAN,13_QUIBBLER_ASK.png,13_QUIBBLER_DOTS.png,FICH WAN,ZETH WUNG,FICH WAN,ZETH WUNG,13_QUIBBLER_ZETH_WUNG.png,,ZETH WUNG,,,,
38,1712311890796,05/04/2024 10:11:30,1712315490796,1,05/04/2024 12:11:30,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,10,Training02,TrainingC,1ouhhw,3,continue,,945.1000000119093,933.2999999999884,945.1000000119093,945.1000000119093,933.2999999999884,945.1000000119093,1,945.1000000119093,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,09,1e-1i_09,3,Training02,32_QWC,ASK,.png,32_QWC_ASK.png,FICH,WAN,32_QWC_FICH_WAN.png,,FICH WAN,13_QUIBBLER_ASK.png,13_QUIBBLER_DOTS.png,FICH WAN,ZETH WUNG,FICH WAN,ZETH WUNG,13_QUIBBLER_ZETH_WUNG.png,,ZETH WUNG,,,,
39,1712311901210,05/04/2024 10:11:41,1712315501210,1,05/04/2024 12:11:41,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,11,Training02,TrainingA,34efq7,1,response,WOUX WIM,6900,10416.700000000012,10426.40000000596,6900,10416.700000000012,10426.40000000596,1,6900,3526.4000000059605,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,11,1e-1i_11,3,Training02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,WOUX,WIM,27_BESTSELLER_WOUX_WIM.png,,WOUX WIM,25_PROSECUTE_ASK.png,25_PROSECUTE_DOTS.png,RUSP WAN,WOUX WIM,WOUX WIM,RUSP WAN,25_PROSECUTE_RUSP_WAN.png,RUSP WAN,,,,,
40,1712311911795,05/04/2024 10:11:51,1712315511795,1,05/04/2024 12:11:51,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,11,Training02,TrainingB,2yfdu9,2,response,,10594.60000001191,10583.799999999988,10594.60000001191,10594.60000001191,10583.799999999988,10594.60000001191,1,10594.60000001191,0,0,,Click Response,Option A,4,object-245,1e-1i,_,11,1e-1i_11,3,Training02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,WOUX,WIM,27_BESTSELLER_WOUX_WIM.png,,WOUX WIM,25_PROSECUTE_ASK.png,25_PROSECUTE_DOTS.png,RUSP WAN,WOUX WIM,WOUX WIM,RUSP WAN,25_PROSECUTE_RUSP_WAN.png,RUSP WAN,,,,,
41,1712311914713,05/04/2024 10:11:54,1712315514713,1,05/04/2024 12:11:54,139619,19,task-crro,,36766450,BLIND,10840343,,complete,,660fcb1872e32846cb590924,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x695,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,11,Training02,TrainingC,1ouhhw,3,continue,,2929.5,2916.5,2929.5,2929.5,2916.5,2929.5,1,2929.5,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,11,1e-1i_11,3,Training02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,WOUX,WIM,27_BESTSELLER_WOUX_WIM.png,,WOUX WIM,25_PROSECUTE_ASK.png,25_PROSECUTE_DOTS.png,RUSP WAN,WOUX WIM,WOUX WIM,RUSP WAN,25_PROSECUTE_RUSP_WAN.png,RUSP WAN,,,,,
