Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
24,1712427239196,06/04/2024 18:13:59,1712430839196,1,06/04/2024 20:13:59,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,3,Training01,Training01B,2yfdu9,2,response,,7805.400000011927,7792,7805.400000011927,7805.400000011927,7792,7805.400000011927,1,7805.400000011927,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,06,MHD_06,18_CEILING,,ASK,.png,18_CEILING_ASK.png,DAIN,,,18_CEILING_DAIN.png,DAIN,,,,,,17_PETRIFIED_ASK.png,BLOT,17_PETRIFIED_BLOT.png,HOAT,DAIN,DAIN,HOAT,17_PETRIFIED_HOAT.png,HOAT,,,,,
25,1712427240170,06/04/2024 18:14:00,1712430840170,1,06/04/2024 20:14:00,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,3,Training01,Training01C,1ouhhw,3,continue,,986.9000000119267,984.3999999999942,986.9000000119267,986.9000000119267,984.3999999999942,986.9000000119267,1,986.9000000119267,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,06,MHD_06,18_CEILING,,ASK,.png,18_CEILING_ASK.png,DAIN,,,18_CEILING_DAIN.png,DAIN,,,,,,17_PETRIFIED_ASK.png,BLOT,17_PETRIFIED_BLOT.png,HOAT,DAIN,DAIN,HOAT,17_PETRIFIED_HOAT.png,HOAT,,,,,
26,1712427246224,06/04/2024 18:14:06,1712430846224,1,06/04/2024 20:14:06,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,4,Training01,Training01A,34efq7,1,response,HOAT,4922.400000000023,6040.400000000023,6056.700000000012,4922.400000000023,6040.400000000023,6056.700000000012,1,4922.400000000023,1134.2999999999884,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
27,1712427249554,06/04/2024 18:14:09,1712430849554,1,06/04/2024 20:14:09,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,4,Training01,Training01B,2yfdu9,2,response,,3346.4999999880674,3336.899999999994,3346.4999999880674,3346.4999999880674,3336.899999999994,3346.4999999880674,1,3346.4999999880674,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
28,1712427251064,06/04/2024 18:14:11,1712430851064,1,06/04/2024 20:14:11,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,4,Training01,Training01C,1ouhhw,3,continue,,1519.0999999880733,1518.2999999999884,1519.0999999880733,1519.0999999880733,1518.2999999999884,1519.0999999880733,1,1519.0999999880733,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
29,1712427272303,06/04/2024 18:14:32,1712430872303,1,06/04/2024 20:14:32,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,5,Training01,Training01A,34efq7,1,response,HOAT,16568.5,21223.800000000017,21239.600000000006,16568.5,21223.800000000017,21239.600000000006,1,16568.5,4671.100000000006,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
30,1712427275305,06/04/2024 18:14:35,1712430875305,1,06/04/2024 20:14:35,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,5,Training01,Training01B,2yfdu9,2,response,,3017.7999999999884,3003.399999999994,3017.7999999999884,3017.7999999999884,3003.399999999994,3017.7999999999884,1,3017.7999999999884,0,0,,Click Response,Option B,5,object-246,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
31,1712427276605,06/04/2024 18:14:36,1712430876605,1,06/04/2024 20:14:36,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,5,Training01,Training01C,1ouhhw,3,continue,,1314.0999999880733,1301.3999999999942,1314.0999999880733,1314.0999999880733,1301.3999999999942,1314.0999999880733,1,1314.0999999880733,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
32,1712427282592,06/04/2024 18:14:42,1712430882592,1,06/04/2024 20:14:42,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,6,Training01,Training01A,34efq7,1,response,MELK,4438.5,5990.100000000006,6000.300000011921,4438.5,5990.100000000006,6000.300000011921,1,4438.5,1561.800000011921,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
33,1712427286923,06/04/2024 18:14:46,1712430886923,1,06/04/2024 20:14:46,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,6,Training01,Training01B,2yfdu9,2,response,,4341.099999988073,4338.100000000006,4341.099999988073,4341.099999988073,4338.100000000006,4341.099999988073,1,4341.099999988073,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
34,1712427287872,06/04/2024 18:14:47,1712430887872,1,06/04/2024 20:14:47,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,6,Training01,Training01C,1ouhhw,3,continue,,952.1999999761465,951.1999999999825,952.1999999761465,952.1999999761465,951.1999999999825,952.1999999761465,1,952.1999999761465,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
35,1712427292088,06/04/2024 18:14:52,1712430892088,1,06/04/2024 20:14:52,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,7,Training01,Training01A,34efq7,1,response,DAIN,1835.3000000000175,4204.700000000012,4216.400000011927,1835.3000000000175,4204.700000000012,4216.400000011927,1,1835.3000000000175,2381.1000000119093,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
36,1712427298206,06/04/2024 18:14:58,1712430898206,1,06/04/2024 20:14:58,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,7,Training01,Training01B,2yfdu9,2,response,,6130.399999999994,6123.399999999994,6130.399999999994,6130.399999999994,6123.399999999994,6130.399999999994,1,6130.399999999994,0,0,,Click Response,Option B,5,object-246,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
37,1712427299394,06/04/2024 18:14:59,1712430899394,1,06/04/2024 20:14:59,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,7,Training01,Training01C,1ouhhw,3,continue,,1194.6000000238419,1184.7999999999884,1194.6000000238419,1194.6000000238419,1184.7999999999884,1194.6000000238419,1,1194.6000000238419,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
38,1712427307860,06/04/2024 18:15:07,1712430907860,1,06/04/2024 20:15:07,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,8,Training01,Training01A,34efq7,1,response,MELK,4021.100000000006,8459.400000000023,8475.800000023853,4021.100000000006,8459.400000000023,8475.800000023853,1,4021.100000000006,4454.700000023848,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,MHD,12,MHD_12,16_PARSELTONGUE,,ASK,.png,16_PARSELTONGUE_ASK.png,MELK,,,16_PARSELTONGUE_MELK.png,MELK,,,,,,18_CEILING_ASK.png,BLOT,18_CEILING_BLOT.png,DAIN,MELK,MELK,DAIN,18_CEILING_DAIN.png,DAIN,,,,,
39,1712427311475,06/04/2024 18:15:11,1712430911475,1,06/04/2024 20:15:11,139619,19,task-s443,,36801309,BLIND,10851192,,complete,,6611902e4d49d087dca789b2,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Melk-Hoat-Dain A Training,6,,,2-3,,,,Pass,Melk-Hoat-Dain Training,8,Training01,Training01B,2yfdu9,2,response,,3631.40000002383,3620.6999999999825,3631.40000002383,3631.40000002383,3620.6999999999825,3631.40000002383,1,3631.40000002383,0,0,,Click Response,Option A,4,object-245,Training01,,2,_,,,,,MHD,12,MHD_12,16_PARSELTONGUE,,ASK,.png,16_PARSELTONGUE_ASK.png,MELK,,,16_PARSELTONGUE_MELK.png,MELK,,,,,,18_CEILING_ASK.png,BLOT,18_CEILING_BLOT.png,DAIN,MELK,MELK,DAIN,18_CEILING_DAIN.png,DAIN,,,,,
