Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
11,1701791922066,05/12/2023 15:58:42,1701791922066,0,05/12/2023 15:58:42,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,5,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_DAIN.png,4448,4433,4448,4448,4433,4448,1,4448,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_DAIN.png,DAIN,,,,,,DAIN,04_HUFFLEPUFF_DAIN.png,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,04_HUFFLEPUFF_HOAT.png,,5,5
12,1701791934347,05/12/2023 15:58:54,1701791934347,0,05/12/2023 15:58:54,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,6,Testing01,Testing,hvzr65,1,response,01_LOCKET_DAIN.png,12295,12282,12295,12295,12282,12295,1,12295,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_DAIN.png,DAIN,,,,,,MELK,01_LOCKET_MELK.png,DAIN,01_LOCKET_DAIN.png,MELK,01_LOCKET_MELK.png,,6,6
13,1701791940894,05/12/2023 15:59:00,1701791940894,0,05/12/2023 15:59:00,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,7,Testing01,Testing,hvzr65,1,response,10_TROLL_MELK.png,6560,6550,6560,6560,6550,6560,0,6560,0,0,,Click Response,LeftOption,4,object-85,Testing01,2,_,,HDM,28,HDM_28,10_TROLL,,ASK,.png,10_TROLL_ASK.png,10_TROLL_DAIN.png,DAIN,,,,,,MELK,10_TROLL_MELK.png,DAIN,10_TROLL_DAIN.png,MELK,10_TROLL_MELK.png,,6,7
14,1701791943331,05/12/2023 15:59:03,1701791943331,0,05/12/2023 15:59:03,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,8,Testing01,Testing,hvzr65,1,response,15_BATBOGEYHEX_MELK.png,2447,2433,2447,2447,2433,2447,0,2447,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,29,HDM_29,15_BATBOGEYHEX,,ASK,.png,15_BATBOGEYHEX_ASK.png,15_BATBOGEYHEX_HOAT.png,HOAT,,,,,,HOAT,15_BATBOGEYHEX_HOAT.png,MELK,15_BATBOGEYHEX_MELK.png,MELK,15_BATBOGEYHEX_MELK.png,,6,8
15,1701791947095,05/12/2023 15:59:07,1701791947095,0,05/12/2023 15:59:07,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,9,Testing01,Testing,hvzr65,1,response,05_QUIRRELL_DAIN.png,3779,3767,3779,3779,3767,3779,0,3779,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,26,HDM_26,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,05_QUIRRELL_MELK.png,MELK,,,,,,MELK,05_QUIRRELL_MELK.png,DAIN,05_QUIRRELL_DAIN.png,DAIN,05_QUIRRELL_DAIN.png,,6,9
16,1701791953228,05/12/2023 15:59:13,1701791953228,0,05/12/2023 15:59:13,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,10,Testing01,Testing,hvzr65,1,response,02_SNITCH_MELK.png,6145,6133,6145,6145,6133,6145,1,6145,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,25,HDM_25,02_SNITCH,,ASK,.png,02_SNITCH_ASK.png,02_SNITCH_MELK.png,MELK,,,,,,HOAT,02_SNITCH_HOAT.png,MELK,02_SNITCH_MELK.png,HOAT,02_SNITCH_HOAT.png,,7,10
17,1701791956292,05/12/2023 15:59:16,1701791956292,0,05/12/2023 15:59:16,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,11,Testing01,Testing,hvzr65,1,response,16_PARSELTONGUE_DAIN.png,3076,3066,3076,3076,3066,3076,1,3076,0,0,,Click Response,LeftOption,4,object-85,Testing01,2,_,,HDM,30,HDM_30,16_PARSELTONGUE,,ASK,.png,16_PARSELTONGUE_ASK.png,16_PARSELTONGUE_DAIN.png,DAIN,,,,,,DAIN,16_PARSELTONGUE_DAIN.png,HOAT,16_PARSELTONGUE_HOAT.png,HOAT,16_PARSELTONGUE_HOAT.png,,8,11
18,1701791958771,05/12/2023 15:59:18,1701791958771,0,05/12/2023 15:59:18,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,12,Testing01,Testing,hvzr65,1,response,09_WEDDING_HOAT.png,2487,2483,2487,2487,2483,2487,1,2487,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,27,HDM_27,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,09_WEDDING_HOAT.png,HOAT,,,,,,DAIN,09_WEDDING_DAIN.png,HOAT,09_WEDDING_HOAT.png,DAIN,09_WEDDING_DAIN.png,,9,12
19,1701791961324,05/12/2023 15:59:21,1701791961324,0,05/12/2023 15:59:21,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,13,Testing01,Testing,hvzr65,1,response,13_GRYFFINDOR_DAIN.png,2558,2551,2558,2558,2551,2558,1,2558,0,0,,Click Response,LeftOption,4,object-85,Testing01,3,_,,HDM,35,HDM_35,13_GRYFFINDOR,,ASK,.png,13_GRYFFINDOR_ASK.png,13_GRYFFINDOR_DAIN.png,DAIN,,,,,,DAIN,13_GRYFFINDOR_DAIN.png,HOAT,13_GRYFFINDOR_HOAT.png,HOAT,13_GRYFFINDOR_HOAT.png,,10,13
20,1701791964912,05/12/2023 15:59:24,1701791964912,0,05/12/2023 15:59:24,139619,18,task-qaml,,33445691,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat B Testing,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Testing,14,Testing01,Testing,hvzr65,1,response,11_WAND_MELK.png,3596,3582,3596,3596,3582,3596,1,3596,0,0,,Click Response,RightOption,3,object-86,Testing01,3,_,,HDM,34,HDM_34,11_WAND,,ASK,.png,11_WAND_ASK.png,11_WAND_MELK.png,MELK,,,,,,HOAT,11_WAND_HOAT.png,MELK,11_WAND_MELK.png,HOAT,11_WAND_HOAT.png,,11,14
