Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Blot,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
11,1701792621197,05/12/2023 16:10:21,1701792621197,0,05/12/2023 16:10:21,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,9,Testing02,Testing,hvzr65,1,response,14_MUNGOS_BLOT_WIM.png,3018.3970011444108,3016.614999999998,3018.3970011444108,3018.3970011444108,3016.614999999998,3018.3970011444108,1,3018.3970011444108,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,36,1e-2_36,3,Testing02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,BLOT,WIM,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WUNG.png,BLOT,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WUNG.png,,WUNG,WIM,WIM,WUNG,,22,27
12,1701792623462,05/12/2023 16:10:23,1701792623462,0,05/12/2023 16:10:23,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,10,Testing02,Testing,hvzr65,1,response,27_BESTSELLER_BLOT_WAN.png,2267.4820000000036,2266.6270000000004,2267.4820000000036,2267.4820000000036,2266.6270000000004,2267.4820000000036,1,2267.4820000000036,0,0,,Click Response,RightOption,3,object-86,1e-2,_,35,1e-2_35,3,Testing02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,BLOT,WIM,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WAN.png,BLOT,27_BESTSELLER_BLOT_WAN.png,27_BESTSELLER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,23,28
13,1701792628421,05/12/2023 16:10:28,1701792628421,0,05/12/2023 16:10:28,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,11,Testing02,Testing,hvzr65,1,response,32_QWC_BLOT_WUNG.png,4959.055000762943,4950.28100000001,4959.055000762943,4959.055000762943,4950.28100000001,4959.055000762943,0,4959.055000762943,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,33,1e-2_33,3,Testing02,32_QWC,ASK,.png,32_QWC_ASK.png,BLOT,WUNG,32_QWC_BLOT_WUNG.png,32_QWC_BLOT_WAN.png,BLOT,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WUNG.png,,,,WUNG,WAN,,23,29
14,1701792630498,05/12/2023 16:10:30,1701792630498,0,05/12/2023 16:10:30,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,12,Testing02,Testing,hvzr65,1,response,19_BURYVOLDY_BLOT_WUNG.png,2086.3740011444024,2083.080999999991,2086.3740011444024,2086.3740011444024,2083.080999999991,2086.3740011444024,1,2086.3740011444024,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,34,1e-2_34,3,Testing02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,BLOT,WUNG,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,BLOT,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,,,,WUNG,WAN,,24,30
15,1701792633662,05/12/2023 16:10:33,1701792633662,0,05/12/2023 16:10:33,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,13,Testing02,Testing,hvzr65,1,response,06_MOM_BLOT_WAN.png,3166.8810000000085,3150.221000000005,3166.8810000000085,3166.8810000000085,3150.221000000005,3166.8810000000085,1,3166.8810000000085,0,0,,Click Response,RightOption,3,object-86,1e-2,_,39,1e-2_39,4,Testing02,06_MOM,ASK,.png,06_MOM_ASK.png,BLOT,WUNG,06_MOM_BLOT_WUNG.png,06_MOM_BLOT_WAN.png,BLOT,06_MOM_BLOT_WAN.png,06_MOM_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,25,31
16,1701792636460,05/12/2023 16:10:36,1701792636460,0,05/12/2023 16:10:36,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,14,Testing02,Testing,hvzr65,1,response,33_ROR_BLOT_WUNG.png,2814.5720011444064,2799.777000000002,2814.5720011444064,2814.5720011444064,2799.777000000002,2814.5720011444064,1,2814.5720011444064,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,38,1e-2_38,4,Testing02,33_ROR,ASK,.png,33_ROR_ASK.png,BLOT,WUNG,33_ROR_BLOT_WUNG.png,33_ROR_BLOT_WIM.png,BLOT,33_ROR_BLOT_WUNG.png,33_ROR_BLOT_WIM.png,,WIM,WAN,WUNG,WIM,,26,32
17,1701792640173,05/12/2023 16:10:40,1701792640173,0,05/12/2023 16:10:40,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,15,Testing02,Testing,hvzr65,1,response,42_ENGLAND_BLOT_WAN.png,3728.195000762935,3716.856999999989,3728.195000762935,3728.195000762935,3716.856999999989,3728.195000762935,0,3728.195000762935,0,0,,Click Response,RightOption,3,object-86,1e-2,_,40,1e-2_40,4,Testing02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,BLOT,WIM,42_ENGLAND_BLOT_WIM.png,42_ENGLAND_BLOT_WAN.png,BLOT,42_ENGLAND_BLOT_WIM.png,42_ENGLAND_BLOT_WAN.png,,WUNG,WAN,WIM,WAN,,26,33
18,1701792641493,05/12/2023 16:10:41,1701792641493,0,05/12/2023 16:10:41,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,16,Testing02,Testing,hvzr65,1,response,11_RONWAND_BLOT_WIM.png,1331.1380000000063,1316.5790000000125,1331.1380000000063,1331.1380000000063,1316.5790000000125,1331.1380000000063,0,1331.1380000000063,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,37,1e-2_37,4,Testing02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,BLOT,WIM,11_RONWAND_BLOT_WIM.png,11_RONWAND_BLOT_WAN.png,BLOT,11_RONWAND_BLOT_WAN.png,11_RONWAND_BLOT_WIM.png,,WAN,WUNG,WIM,WAN,,26,34
19,1701792643421,05/12/2023 16:10:43,1701792643421,0,05/12/2023 16:10:43,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,17,Testing02,Testing,hvzr65,1,response,25_PROSECUTE_BLOT_WUNG.png,1942.1590003814636,1933.3729999999923,1942.1590003814636,1942.1590003814636,1933.3729999999923,1942.1590003814636,0,1942.1590003814636,0,0,,Click Response,RightOption,3,object-86,1e-2,_,41,1e-2_41,5,Testing02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,BLOT,WAN,25_PROSECUTE_BLOT_WAN.png,25_PROSECUTE_BLOT_WUNG.png,BLOT,25_PROSECUTE_BLOT_WAN.png,25_PROSECUTE_BLOT_WUNG.png,,WAN,WIM,WAN,WUNG,,26,35
20,1701792644989,05/12/2023 16:10:44,1701792644989,0,05/12/2023 16:10:44,139619,18,task-98zo,,33446498,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,18,Testing02,Testing,hvzr65,1,response,21_TEACHHOG_BLOT_WUNG.png,1576.7860003814712,1566.7839999999997,1576.7860003814712,1576.7860003814712,1566.7839999999997,1576.7860003814712,0,1576.7860003814712,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,44,1e-2_44,5,Testing02,21_TEACHHOG,ASK,.png,21_TEACHHOG_ASK.png,BLOT,WUNG,21_TEACHHOG_BLOT_WUNG.png,21_TEACHHOG_BLOT_WIM.png,BLOT,21_TEACHHOG_BLOT_WIM.png,21_TEACHHOG_BLOT_WUNG.png,,,,WUNG,WIM,,26,36
