Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
75,1701791799174,05/12/2023 15:56:39,1701791799174,0,05/12/2023 15:56:39,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,12,Training01,Training01C,1ouhhw,3,continue,,902.3940000000293,885.6830000000191,902.3940000000293,902.3940000000293,885.6830000000191,902.3940000000293,1,902.3940000000293,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,HDM,08,HDM_08,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,DAIN,,,05_QUIRRELL_DAIN.png,DAIN,,,,,,04_HUFFLEPUFF_ASK.png,BLOT,04_HUFFLEPUFF_BLOT.png,HOAT,DAIN,DAIN,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,
76,1701791803340,05/12/2023 15:56:43,1701791803340,0,05/12/2023 15:56:43,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,13,Training01,Training01A,34efq7,1,response,HOAT,1554.1229999999632,4177.75,4183.291999999608,1554.1229999999632,4177.75,4183.291999999608,1,1554.1229999999632,2629.168999999645,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,HDM,15,HDM_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,HOAT,,,07_RIDDLE_HOAT.png,HOAT,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,HOAT,DAIN,HOAT,DAIN,08_SLUGHORN_DAIN.png,,DAIN,,,,
77,1701791804744,05/12/2023 15:56:44,1701791804744,0,05/12/2023 15:56:44,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,13,Training01,Training01B,2yfdu9,2,response,,1409.2419999997946,1403.7239999999874,1409.2419999997946,1409.2419999997946,1403.7239999999874,1409.2419999997946,1,1409.2419999997946,0,0,,Click Response,Option B,5,object-246,Training01,,3,_,,,,,HDM,15,HDM_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,HOAT,,,07_RIDDLE_HOAT.png,HOAT,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,HOAT,DAIN,HOAT,DAIN,08_SLUGHORN_DAIN.png,,DAIN,,,,
78,1701791805645,05/12/2023 15:56:45,1701791805645,0,05/12/2023 15:56:45,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,13,Training01,Training01C,1ouhhw,3,continue,,907.317999999621,902.3939999999711,907.317999999621,907.317999999621,902.3939999999711,907.317999999621,1,907.317999999621,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,HDM,15,HDM_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,HOAT,,,07_RIDDLE_HOAT.png,HOAT,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,HOAT,DAIN,HOAT,DAIN,08_SLUGHORN_DAIN.png,,DAIN,,,,
79,1701791809494,05/12/2023 15:56:49,1701791809494,0,05/12/2023 15:56:49,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,14,Training01,Training01A,34efq7,1,response,DAIN,1537.4800000000396,3843.597999999998,3853.724000000395,1537.4800000000396,3843.597999999998,3853.724000000395,1,1537.4800000000396,2316.2440000003553,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,HDM,16,HDM_16,11_WAND,,ASK,.png,11_WAND_ASK.png,DAIN,,,11_WAND_DAIN.png,DAIN,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,DAIN,MELK,DAIN,MELK,12_TOAD_MELK.png,,MELK,,,,
80,1701791811279,05/12/2023 15:56:51,1701791811279,0,05/12/2023 15:56:51,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,14,Training01,Training01B,2yfdu9,2,response,,1794.2260000000242,1788.0770000000484,1794.2260000000242,1794.2260000000242,1788.0770000000484,1794.2260000000242,1,1794.2260000000242,0,0,,Click Response,Option B,5,object-246,Training01,,3,_,,,,,HDM,16,HDM_16,11_WAND,,ASK,.png,11_WAND_ASK.png,DAIN,,,11_WAND_DAIN.png,DAIN,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,DAIN,MELK,DAIN,MELK,12_TOAD_MELK.png,,MELK,,,,
81,1701791812386,05/12/2023 15:56:52,1701791812386,0,05/12/2023 15:56:52,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,14,Training01,Training01C,1ouhhw,3,continue,,1113.349000000162,1102.9259999999776,1113.349000000162,1113.349000000162,1102.9259999999776,1113.349000000162,1,1113.349000000162,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,HDM,16,HDM_16,11_WAND,,ASK,.png,11_WAND_ASK.png,DAIN,,,11_WAND_DAIN.png,DAIN,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,DAIN,MELK,DAIN,MELK,12_TOAD_MELK.png,,MELK,,,,
82,1701791815669,05/12/2023 15:56:55,1701791815669,0,05/12/2023 15:56:55,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,15,Training01,Training01A,34efq7,1,response,MELK,1437.146000000008,3275.3559999999707,3292.0669999999227,1437.146000000008,3275.3559999999707,3292.0669999999227,1,1437.146000000008,1854.9209999999148,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,HDM,14,HDM_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,MELK,,,06_OPENSECRET_MELK.png,MELK,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,DAIN,MELK,MELK,DAIN,05_QUIRRELL_DAIN.png,DAIN,,,,,
83,1701791818126,05/12/2023 15:56:58,1701791818126,0,05/12/2023 15:56:58,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,15,Training01,Training01B,2yfdu9,2,response,,2473.408000000054,2456.6970000000438,2473.408000000054,2473.408000000054,2456.6970000000438,2473.408000000054,1,2473.408000000054,0,0,,Click Response,Option A,4,object-245,Training01,,3,_,,,,,HDM,14,HDM_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,MELK,,,06_OPENSECRET_MELK.png,MELK,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,DAIN,MELK,MELK,DAIN,05_QUIRRELL_DAIN.png,DAIN,,,,,
84,1701791819410,05/12/2023 15:56:59,1701791819410,0,05/12/2023 15:56:59,139619,18,task-4jqj,,33445268,BLIND,9898477,,complete,,656f470fee9e6a57097a3ccd,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x731,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,fail,,Hoat_Dain_Melk Training,15,Training01,Training01C,1ouhhw,3,continue,,1302.1699999999837,1286.746999999974,1302.1699999999837,1302.1699999999837,1286.746999999974,1302.1699999999837,1,1302.1699999999837,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,HDM,14,HDM_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,MELK,,,06_OPENSECRET_MELK.png,MELK,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,DAIN,MELK,MELK,DAIN,05_QUIRRELL_DAIN.png,DAIN,,,,,
