Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
68,1701792846758,05/12/2023 16:14:06,1701792846758,0,05/12/2023 16:14:06,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,20,Training02,TrainingC,1ouhhw,3,continue,,4846.4679999820655,4833.940999999992,4846.4679999820655,4846.4679999820655,4833.940999999992,4846.4679999820655,1,4846.4679999820655,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,18,1i-2_18,5,Training02,05_AUROR,ASK,.png,05_AUROR_ASK.png,ZETH,WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,11_RONWAND_ASK.png,11_RONWAND_DOTS.png,ZETH WAN,RUSP WIM,ZETH WAN,RUSP WIM,11_RONWAND_RUSP_WIM.png,,RUSP WIM,,,,
69,1701792858190,05/12/2023 16:14:18,1701792858190,0,05/12/2023 16:14:18,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,21,Training02,TrainingA,34efq7,1,response,WOUX WUNG,3467.3809999999357,11435.1669999999,11445.026999982074,3467.3809999999357,11435.1669999999,11445.026999982074,1,3467.3809999999357,7977.645999982138,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,24,1i-2_24,6,Training02,07_AZKABAN,ASK,.png,07_AZKABAN_ASK.png,WOUX,WUNG,07_AZKABAN_WOUX_WUNG.png,,WOUX WUNG,32_QWC_ASK.png,32_QWC_DOTS.png,WOUX WUNG,RUSP WIM,WOUX WUNG,RUSP WIM,32_QWC_RUSP_WIM.png,,RUSP WIM,,,,
70,1701792870685,05/12/2023 16:14:30,1701792870685,0,05/12/2023 16:14:30,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,21,Training02,TrainingB,2yfdu9,2,response,,12504.759999988135,12501.899000000092,12504.759999988135,12504.759999988135,12501.899000000092,12504.759999988135,1,12504.759999988135,0,0,,Click Response,Option B,5,object-246,1i-2,_,24,1i-2_24,6,Training02,07_AZKABAN,ASK,.png,07_AZKABAN_ASK.png,WOUX,WUNG,07_AZKABAN_WOUX_WUNG.png,,WOUX WUNG,32_QWC_ASK.png,32_QWC_DOTS.png,WOUX WUNG,RUSP WIM,WOUX WUNG,RUSP WIM,32_QWC_RUSP_WIM.png,,RUSP WIM,,,,
71,1701792873407,05/12/2023 16:14:33,1701792873407,0,05/12/2023 16:14:33,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,21,Training02,TrainingC,1ouhhw,3,continue,,2724.760999994003,2717.042000000016,2724.760999994003,2724.760999994003,2717.042000000016,2724.760999994003,1,2724.760999994003,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,24,1i-2_24,6,Training02,07_AZKABAN,ASK,.png,07_AZKABAN_ASK.png,WOUX,WUNG,07_AZKABAN_WOUX_WUNG.png,,WOUX WUNG,32_QWC_ASK.png,32_QWC_DOTS.png,WOUX WUNG,RUSP WIM,WOUX WUNG,RUSP WIM,32_QWC_RUSP_WIM.png,,RUSP WIM,,,,
72,1701792883901,05/12/2023 16:14:43,1701792883901,0,05/12/2023 16:14:43,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,22,Training02,TrainingA,34efq7,1,response,RUSP WIM,6251.033999999985,10484.978999999934,10501.613999999943,6251.033999999985,10484.978999999934,10501.613999999943,1,6251.033999999985,4250.579999999958,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,21,1i-2_21,6,Training02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,RUSP,WIM,39_STOPHAGRID_RUSP_WIM.png,,RUSP WIM,14_MUNGOS_ASK.png,14_MUNGOS_DOTS.png,WOUX WUNG,RUSP WIM,RUSP WIM,WOUX WUNG,14_MUNGOS_WOUX_WUNG.png,WOUX WUNG,,,,,
73,1701792890121,05/12/2023 16:14:50,1701792890121,0,05/12/2023 16:14:50,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,22,Training02,TrainingB,2yfdu9,2,response,,6234.326999999932,6217.628999999957,6234.326999999932,6234.326999999932,6217.628999999957,6234.326999999932,1,6234.326999999932,0,0,,Click Response,Option A,4,object-245,1i-2,_,21,1i-2_21,6,Training02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,RUSP,WIM,39_STOPHAGRID_RUSP_WIM.png,,RUSP WIM,14_MUNGOS_ASK.png,14_MUNGOS_DOTS.png,WOUX WUNG,RUSP WIM,RUSP WIM,WOUX WUNG,14_MUNGOS_WOUX_WUNG.png,WOUX WUNG,,,,,
74,1701792893059,05/12/2023 16:14:53,1701792893059,0,05/12/2023 16:14:53,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,22,Training02,TrainingC,1ouhhw,3,continue,,2957.3109999821754,2950.5090000000782,2957.3109999821754,2957.3109999821754,2950.5090000000782,2957.3109999821754,1,2957.3109999821754,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,21,1i-2_21,6,Training02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,RUSP,WIM,39_STOPHAGRID_RUSP_WIM.png,,RUSP WIM,14_MUNGOS_ASK.png,14_MUNGOS_DOTS.png,WOUX WUNG,RUSP WIM,RUSP WIM,WOUX WUNG,14_MUNGOS_WOUX_WUNG.png,WOUX WUNG,,,,,
75,1701792905821,05/12/2023 16:15:05,1701792905821,0,05/12/2023 16:15:05,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,23,Training02,TrainingA,34efq7,1,response,FICH WAN,4967.2639999999665,12751.883999999962,12768.53899999999,4967.2639999999665,12751.883999999962,12768.53899999999,1,4967.2639999999665,7801.275000000023,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,23,1i-2_23,6,Training02,20_PULLSWORD,ASK,.png,20_PULLSWORD_ASK.png,FICH,WAN,20_PULLSWORD_FICH_WAN.png,,FICH WAN,28_GALLEONS_ASK.png,28_GALLEONS_DOTS.png,FICH WAN,ZETH WAN,FICH WAN,ZETH WAN,28_GALLEONS_ZETH_WAN.png,,ZETH WAN,,,,
76,1701792914841,05/12/2023 16:15:14,1701792914841,0,05/12/2023 16:15:14,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,23,Training02,TrainingB,2yfdu9,2,response,,9034.615000000107,9018.080000000075,9034.615000000107,9034.615000000107,9018.080000000075,9034.615000000107,1,9034.615000000107,0,0,,Click Response,Option A,4,object-245,1i-2,_,23,1i-2_23,6,Training02,20_PULLSWORD,ASK,.png,20_PULLSWORD_ASK.png,FICH,WAN,20_PULLSWORD_FICH_WAN.png,,FICH WAN,28_GALLEONS_ASK.png,28_GALLEONS_DOTS.png,FICH WAN,ZETH WAN,FICH WAN,ZETH WAN,28_GALLEONS_ZETH_WAN.png,,ZETH WAN,,,,
77,1701792921223,05/12/2023 16:15:21,1701792921223,0,05/12/2023 16:15:21,139619,18,task-kgvj,,33446043,BLIND,9898456,,complete,,656f46fb2192f499fb7b44b2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x864,,,0,1i-2 A Training,3,,,1i-2,,Pass,,,1i-2 A Training,23,Training02,TrainingC,1ouhhw,3,continue,,6400.734999999986,6384.214999999967,6400.734999999986,6400.734999999986,6384.214999999967,6400.734999999986,1,6400.734999999986,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,23,1i-2_23,6,Training02,20_PULLSWORD,ASK,.png,20_PULLSWORD_ASK.png,FICH,WAN,20_PULLSWORD_FICH_WAN.png,,FICH WAN,28_GALLEONS_ASK.png,28_GALLEONS_DOTS.png,FICH WAN,ZETH WAN,FICH WAN,ZETH WAN,28_GALLEONS_ZETH_WAN.png,,ZETH WAN,,,,
