Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
11,1701792424962,05/12/2023 16:07:04,1701792424962,0,05/12/2023 16:07:04,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,9,Testing02,Testing,hvzr65,1,response,32_QWC_BLOT_WAN.png,10098.881000000372,10096.084000000003,10098.881000000372,10098.881000000372,10096.084000000003,10098.881000000372,1,10098.881000000372,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,33,1e-1i_33,3,Testing02,32_QWC,ASK,.png,32_QWC_ASK.png,BLOT,WIM,32_QWC_BLOT_WIM.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WIM.png,,,,WIM,WAN,,27,27
12,1701792431077,05/12/2023 16:07:11,1701792431077,0,05/12/2023 16:07:11,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,10,Testing02,Testing,hvzr65,1,response,27_BESTSELLER_BLOT_WIM.png,6117.596999999252,6110.482999999993,6117.596999999252,6117.596999999252,6110.482999999993,6117.596999999252,1,6117.596999999252,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,35,1e-1i_35,3,Testing02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,BLOT,WAN,27_BESTSELLER_BLOT_WAN.png,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WAN.png,,WAN,WUNG,WAN,WIM,,28,28
13,1701792434234,05/12/2023 16:07:14,1701792434234,0,05/12/2023 16:07:14,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,11,Testing02,Testing,hvzr65,1,response,19_BURYVOLDY_BLOT_WAN.png,3164.1139999992592,3149.8740000000107,3164.1139999992592,3164.1139999992592,3149.8740000000107,3164.1139999992592,1,3164.1139999992592,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,34,1e-1i_34,3,Testing02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,BLOT,WAN,19_BURYVOLDY_BLOT_WAN.png,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,19_BURYVOLDY_BLOT_WUNG.png,,,,WAN,WUNG,,29,29
14,1701792438094,05/12/2023 16:07:18,1701792438094,0,05/12/2023 16:07:18,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,12,Testing02,Testing,hvzr65,1,response,14_MUNGOS_BLOT_WUNG.png,3874.139999999621,3866.511999999988,3874.139999999621,3874.139999999621,3866.511999999988,3874.139999999621,1,3874.139999999621,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,36,1e-1i_36,3,Testing02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,BLOT,WUNG,14_MUNGOS_BLOT_WUNG.png,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WUNG.png,14_MUNGOS_BLOT_WIM.png,,WAN,WIM,WUNG,WIM,,30,30
15,1701792443103,05/12/2023 16:07:23,1701792443103,0,05/12/2023 16:07:23,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,13,Testing02,Testing,hvzr65,1,response,06_MOM_BLOT_WIM.png,5017.028000000006,5000.88900000001,5017.028000000006,5017.028000000006,5000.88900000001,5017.028000000006,1,5017.028000000006,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,39,1e-1i_39,4,Testing02,06_MOM,ASK,.png,06_MOM_ASK.png,BLOT,WUNG,06_MOM_BLOT_WUNG.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WUNG.png,,WAN,WIM,WUNG,WIM,,31,31
16,1701792449996,05/12/2023 16:07:29,1701792449996,0,05/12/2023 16:07:29,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,14,Testing02,Testing,hvzr65,1,response,33_ROR_BLOT_WAN.png,6907.482999999993,6890.8169999999955,6907.482999999993,6907.482999999993,6890.8169999999955,6907.482999999993,1,6907.482999999993,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,38,1e-1i_38,4,Testing02,33_ROR,ASK,.png,33_ROR_ASK.png,BLOT,WAN,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WIM.png,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WIM.png,,WUNG,WAN,WAN,WIM,,32,32
17,1701792453120,05/12/2023 16:07:33,1701792453120,0,05/12/2023 16:07:33,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,15,Testing02,Testing,hvzr65,1,response,42_ENGLAND_BLOT_WUNG.png,3141.4219999996276,3133.2079999999987,3141.4219999996276,3141.4219999996276,3133.2079999999987,3141.4219999996276,1,3141.4219999996276,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,40,1e-1i_40,4,Testing02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,BLOT,WUNG,42_ENGLAND_BLOT_WUNG.png,42_ENGLAND_BLOT_WAN.png,42_ENGLAND_BLOT_WUNG.png,42_ENGLAND_BLOT_WAN.png,,WAN,WUNG,WUNG,WAN,,33,33
18,1701792462648,05/12/2023 16:07:42,1701792462648,0,05/12/2023 16:07:42,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,16,Testing02,Testing,hvzr65,1,response,11_RONWAND_BLOT_WAN.png,9536.014000000374,9534.271999999997,9536.014000000374,9536.014000000374,9534.271999999997,9536.014000000374,1,9536.014000000374,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,37,1e-1i_37,4,Testing02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,BLOT,WUNG,11_RONWAND_BLOT_WUNG.png,11_RONWAND_BLOT_WAN.png,11_RONWAND_BLOT_WAN.png,11_RONWAND_BLOT_WUNG.png,,WIM,WUNG,WUNG,WAN,,34,34
19,1701792468609,05/12/2023 16:07:48,1701792468609,0,05/12/2023 16:07:48,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,17,Testing02,Testing,hvzr65,1,response,25_PROSECUTE_BLOT_WAN.png,5963.441999999632,5949.762000000002,5963.441999999632,5963.441999999632,5949.762000000002,5963.441999999632,1,5963.441999999632,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,41,1e-1i_41,5,Testing02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,BLOT,WAN,25_PROSECUTE_BLOT_WAN.png,25_PROSECUTE_BLOT_WIM.png,25_PROSECUTE_BLOT_WAN.png,25_PROSECUTE_BLOT_WIM.png,,WIM,WAN,WAN,WIM,,35,35
20,1701792473615,05/12/2023 16:07:53,1701792473615,0,05/12/2023 16:07:53,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,18,Testing02,Testing,hvzr65,1,response,05_AUROR_BLOT_WAN.png,5018.880000000747,5006.812999999995,5018.880000000747,5018.880000000747,5006.812999999995,5018.880000000747,1,5018.880000000747,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,42,1e-1i_42,5,Testing02,05_AUROR,ASK,.png,05_AUROR_ASK.png,BLOT,WUNG,05_AUROR_BLOT_WUNG.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WUNG.png,,WUNG,WIM,WUNG,WAN,,36,36
