Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
22,1712317743176,05/04/2024 11:49:03,1712321343176,1,05/04/2024 13:49:03,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,20,Testing02,Testing,hvzr65,1,response,05_AUROR_BLOT_WUNG.png,1314,1301,1314,1314,1301,1314,0,1314,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,42,1i-2_42,5,Testing02,05_AUROR,ASK,.png,05_AUROR_ASK.png,BLOT,WUNG,05_AUROR_BLOT_WUNG.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WUNG.png,,WAN,WIM,WUNG,WAN,,28,38
23,1712317745681,05/04/2024 11:49:05,1712321345681,1,05/04/2024 13:49:05,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,21,Testing02,Testing,hvzr65,1,response,20_PULLSWORD_BLOT_WAN.png,2516,2501,2516,2516,2501,2516,1,2516,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,47,1i-2_47,6,Testing02,20_PULLSWORD,ASK,.png,20_PULLSWORD_ASK.png,BLOT,WAN,20_PULLSWORD_BLOT_WAN.png,20_PULLSWORD_BLOT_WUNG.png,20_PULLSWORD_BLOT_WAN.png,20_PULLSWORD_BLOT_WUNG.png,,,,WAN,WUNG,,29,39
24,1712317748174,05/04/2024 11:49:08,1712321348174,1,05/04/2024 13:49:08,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,22,Testing02,Testing,hvzr65,1,response,39_STOPHAGRID_BLOT_WIM.png,2509,2503,2509,2509,2503,2509,1,2509,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,45,1i-2_45,6,Testing02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,BLOT,WIM,39_STOPHAGRID_BLOT_WIM.png,39_STOPHAGRID_BLOT_WUNG.png,39_STOPHAGRID_BLOT_WIM.png,39_STOPHAGRID_BLOT_WUNG.png,,,,WIM,WUNG,,30,40
25,1712317751652,05/04/2024 11:49:11,1712321351652,1,05/04/2024 13:49:11,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,23,Testing02,Testing,hvzr65,1,response,26_ERISED_BLOT_WAN.png,3484,3469,3484,3484,3469,3484,1,3484,0,0,,Click Response,RightOption,3,object-86,1i-2,_,46,1i-2_46,6,Testing02,26_ERISED,ASK,.png,26_ERISED_ASK.png,BLOT,WIM,26_ERISED_BLOT_WIM.png,26_ERISED_BLOT_WAN.png,26_ERISED_BLOT_WAN.png,26_ERISED_BLOT_WIM.png,,,,WIM,WAN,,31,41
26,1712317756070,05/04/2024 11:49:16,1712321356070,1,05/04/2024 13:49:16,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,24,Testing02,Testing,hvzr65,1,response,07_AZKABAN_BLOT_WUNG.png,4433,4419,4433,4433,4419,4433,1,4433,0,0,,Click Response,RightOption,3,object-86,1i-2,_,48,1i-2_48,6,Testing02,07_AZKABAN,ASK,.png,07_AZKABAN_ASK.png,BLOT,WAN,07_AZKABAN_BLOT_WAN.png,07_AZKABAN_BLOT_WUNG.png,07_AZKABAN_BLOT_WUNG.png,07_AZKABAN_BLOT_WAN.png,,,,WAN,WUNG,,32,42
27,1712317757982,05/04/2024 11:49:17,1712321357982,1,05/04/2024 13:49:17,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,25,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WIM.png,1926,1918,1926,1926,1918,1926,0,1926,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,50,1i-2_50,7,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WIM,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WIM.png,,,,WIM,WAN,,32,43
28,1712317759900,05/04/2024 11:49:19,1712321359900,1,05/04/2024 13:49:19,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,26,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,1926,1919,1926,1926,1919,1926,1,1926,0,0,,Click Response,RightOption,3,object-86,1i-2,_,52,1i-2_52,7,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WAN,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WAN.png,,,,WAN,WUNG,,33,44
29,1712317762244,05/04/2024 11:49:22,1712321362244,1,05/04/2024 13:49:22,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,27,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,2350,2334,2350,2350,2334,2350,1,2350,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,51,1i-2_51,7,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,,,,WAN,WUNG,,34,45
30,1712317764634,05/04/2024 11:49:24,1712321364634,1,05/04/2024 13:49:24,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,28,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WIM.png,2407,2402,2407,2407,2402,2407,1,2407,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,49,1i-2_49,7,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WIM,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WUNG.png,,,,WIM,WUNG,,35,46
31,1712317766156,05/04/2024 11:49:26,1712321366156,1,05/04/2024 13:49:26,139619,19,task-hebw,,36768817,BLIND,10841128,,complete,,660fe1161a3316abb2452455,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x803,1536x799,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,29,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,1528,1518,1528,1528,1518,1528,1,1528,0,0,,Click Response,RightOption,3,object-86,1i-2,_,56,1i-2_56,8,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WIM,28_GALLEONS_BLOT_WIM.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WIM.png,,,,WIM,WUNG,,36,47
