Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
42,1712314960959,05/04/2024 11:02:40,1712318560959,1,05/04/2024 13:02:40,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,9,Training01,Training01B,2yfdu9,2,response,,6358.799999904644,6349,6358.799999904644,6358.799999904644,6349,6358.799999904644,1,6358.799999904644,0,0,,Click Response,Option A,4,object-245,Training01,,2,_,,,,,HDM,11,HDM_11,15_BATBOGEYHEX,,ASK,.png,15_BATBOGEYHEX_ASK.png,MELK,,,15_BATBOGEYHEX_MELK.png,MELK,,,,,,14_TOPMARK_ASK.png,BLOT,14_TOPMARK_BLOT.png,DAIN,MELK,MELK,DAIN,14_TOPMARK_DAIN.png,DAIN,,,,,
43,1712314963936,05/04/2024 11:02:43,1712318563936,1,05/04/2024 13:02:43,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,9,Training01,Training01C,1ouhhw,3,continue,,2986.799999904644,2974.5,2986.799999904644,2986.799999904644,2974.5,2986.799999904644,1,2986.799999904644,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,HDM,11,HDM_11,15_BATBOGEYHEX,,ASK,.png,15_BATBOGEYHEX_ASK.png,MELK,,,15_BATBOGEYHEX_MELK.png,MELK,,,,,,14_TOPMARK_ASK.png,BLOT,14_TOPMARK_BLOT.png,DAIN,MELK,MELK,DAIN,14_TOPMARK_DAIN.png,DAIN,,,,,
44,1712314970912,05/04/2024 11:02:50,1712318570912,1,05/04/2024 13:02:50,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,10,Training01,Training01A,34efq7,1,response,DAIN,4961.799999999988,6975.900000000023,6988.59999997617,4961.799999999988,6975.900000000023,6988.59999997617,1,4961.799999999988,2026.7999999761814,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,HDM,08,HDM_08,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,DAIN,,,05_QUIRRELL_DAIN.png,DAIN,,,,,,04_HUFFLEPUFF_ASK.png,BLOT,04_HUFFLEPUFF_BLOT.png,HOAT,DAIN,DAIN,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,
45,1712314975187,05/04/2024 11:02:55,1712318575187,1,05/04/2024 13:02:55,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,10,Training01,Training01B,2yfdu9,2,response,,4287.399999904621,4281.899999999965,4287.399999904621,4287.399999904621,4281.899999999965,4287.399999904621,1,4287.399999904621,0,0,,Click Response,Option A,4,object-245,Training01,,2,_,,,,,HDM,08,HDM_08,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,DAIN,,,05_QUIRRELL_DAIN.png,DAIN,,,,,,04_HUFFLEPUFF_ASK.png,BLOT,04_HUFFLEPUFF_BLOT.png,HOAT,DAIN,DAIN,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,
46,1712314976243,05/04/2024 11:02:56,1712318576243,1,05/04/2024 13:02:56,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,10,Training01,Training01C,1ouhhw,3,continue,,1061.4999999046559,1053.4000000000233,1061.4999999046559,1061.4999999046559,1053.4000000000233,1061.4999999046559,1,1061.4999999046559,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,HDM,08,HDM_08,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,DAIN,,,05_QUIRRELL_DAIN.png,DAIN,,,,,,04_HUFFLEPUFF_ASK.png,BLOT,04_HUFFLEPUFF_BLOT.png,HOAT,DAIN,DAIN,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,
47,1712314983313,05/04/2024 11:03:03,1712318583313,1,05/04/2024 13:03:03,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,11,Training01,Training01A,34efq7,1,response,HOAT,4161.799999999988,7069.5,7078.699999928474,4161.799999999988,7069.5,7078.699999928474,1,4161.799999999988,2916.899999928486,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,HDM,10,HDM_10,10_TROLL,,ASK,.png,10_TROLL_ASK.png,HOAT,,,10_TROLL_HOAT.png,HOAT,,,,,,11_WAND_ASK.png,BLOT,11_WAND_BLOT.png,HOAT,DAIN,HOAT,DAIN,11_WAND_DAIN.png,,DAIN,,,,
48,1712314987802,05/04/2024 11:03:07,1712318587802,1,05/04/2024 13:03:07,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,11,Training01,Training01B,2yfdu9,2,response,,4497.599999904633,4494.900000000023,4497.599999904633,4497.599999904633,4494.900000000023,4497.599999904633,1,4497.599999904633,0,0,,Click Response,Option B,5,object-246,Training01,,2,_,,,,,HDM,10,HDM_10,10_TROLL,,ASK,.png,10_TROLL_ASK.png,HOAT,,,10_TROLL_HOAT.png,HOAT,,,,,,11_WAND_ASK.png,BLOT,11_WAND_BLOT.png,HOAT,DAIN,HOAT,DAIN,11_WAND_DAIN.png,,DAIN,,,,
49,1712314988999,05/04/2024 11:03:08,1712318588999,1,05/04/2024 13:03:08,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,11,Training01,Training01C,1ouhhw,3,continue,,1200.2999999284511,1187.0999999999767,1200.2999999284511,1200.2999999284511,1187.0999999999767,1200.2999999284511,1,1200.2999999284511,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,HDM,10,HDM_10,10_TROLL,,ASK,.png,10_TROLL_ASK.png,HOAT,,,10_TROLL_HOAT.png,HOAT,,,,,,11_WAND_ASK.png,BLOT,11_WAND_BLOT.png,HOAT,DAIN,HOAT,DAIN,11_WAND_DAIN.png,,DAIN,,,,
50,1712314998509,05/04/2024 11:03:18,1712318598509,1,05/04/2024 13:03:18,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,12,Training01,Training01A,34efq7,1,response,DAIN,7802.900000000023,9510.200000000012,9522.799999952316,7802.900000000023,9510.200000000012,9522.799999952316,1,7802.900000000023,1719.899999952293,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,HDM,07,HDM_07,02_SNITCH,,ASK,.png,02_SNITCH_ASK.png,DAIN,,,02_SNITCH_DAIN.png,DAIN,,,,,,03_NAGINI_ASK.png,BLOT,03_NAGINI_BLOT.png,DAIN,MELK,DAIN,MELK,03_NAGINI_MELK.png,,MELK,,,,
51,1712315004415,05/04/2024 11:03:24,1712318604415,1,05/04/2024 13:03:24,139619,19,task-fbri,,36767684,BLIND,10840871,,complete,,660fd755506939e285a70a32,computer,Desktop or Laptop,Windows 10,Opera 107.0.0.0,1920x1080,1920x962,,,0,Hoat-Dain-Melk A Training,30,,fail,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,12,Training01,Training01B,2yfdu9,2,response,,5918.899999904621,5908.899999999965,5918.899999904621,5918.899999904621,5908.899999999965,5918.899999904621,1,5918.899999904621,0,0,,Click Response,Option B,5,object-246,Training01,,2,_,,,,,HDM,07,HDM_07,02_SNITCH,,ASK,.png,02_SNITCH_ASK.png,DAIN,,,02_SNITCH_DAIN.png,DAIN,,,,,,03_NAGINI_ASK.png,BLOT,03_NAGINI_BLOT.png,DAIN,MELK,DAIN,MELK,03_NAGINI_MELK.png,,MELK,,,,
