Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
39,1712323559825,05/04/2024 13:25:59,1712327159825,1,05/04/2024 15:25:59,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,37,Testing02,Testing,hvzr65,1,response,11_RONWAND_BLOT_WUNG.png,1552.5999999996275,1547.1000000000058,1552.5999999996275,1552.5999999996275,1547.1000000000058,1552.5999999996275,1,1552.5999999996275,0,0,,Click Response,RightOption,3,object-86,1i-3,_,61,1i-3_61,10,Testing02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,BLOT,WIM,11_RONWAND_BLOT_WIM.png,11_RONWAND_BLOT_WUNG.png,11_RONWAND_BLOT_WUNG.png,11_RONWAND_BLOT_WIM.png,,,,WIM,WUNG,,42,55
40,1712323561331,05/04/2024 13:26:01,1712327161331,1,05/04/2024 15:26:01,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,38,Testing02,Testing,hvzr65,1,response,42_ENGLAND_BLOT_WIM.png,1511.7999999994354,1505.2999999999884,1511.7999999994354,1511.7999999994354,1505.2999999999884,1511.7999999994354,0,1511.7999999994354,0,0,,Click Response,RightOption,3,object-86,1i-3,_,64,1i-3_64,10,Testing02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,BLOT,WAN,42_ENGLAND_BLOT_WAN.png,42_ENGLAND_BLOT_WIM.png,42_ENGLAND_BLOT_WAN.png,42_ENGLAND_BLOT_WIM.png,,,,WAN,WIM,,42,56
41,1712323563545,05/04/2024 13:26:03,1712327163545,1,05/04/2024 15:26:03,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,39,Testing02,Testing,hvzr65,1,response,33_ROR_BLOT_WAN.png,2219.7999999999884,2212.899999999994,2219.7999999999884,2219.7999999999884,2212.899999999994,2219.7999999999884,1,2219.7999999999884,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,62,1i-3_62,10,Testing02,33_ROR,ASK,.png,33_ROR_ASK.png,BLOT,WAN,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WUNG.png,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WUNG.png,,,,WAN,WUNG,,43,57
42,1712323565073,05/04/2024 13:26:05,1712327165073,1,05/04/2024 15:26:05,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,40,Testing02,Testing,hvzr65,1,response,06_MOM_BLOT_WAN.png,1535.799999999639,1533.2000000000116,1535.799999999639,1535.799999999639,1533.2000000000116,1535.799999999639,0,1535.799999999639,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,63,1i-3_63,10,Testing02,06_MOM,ASK,.png,06_MOM_ASK.png,BLOT,WAN,06_MOM_BLOT_WAN.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WAN.png,,,,WAN,WIM,,43,58
43,1712323567124,05/04/2024 13:26:07,1712327167124,1,05/04/2024 15:26:07,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,41,Testing02,Testing,hvzr65,1,response,25_PROSECUTE_BLOT_WUNG.png,2053.399999999441,2046.5,2053.399999999441,2053.399999999441,2046.5,2053.399999999441,1,2053.399999999441,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,65,1i-3_65,11,Testing02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,BLOT,WUNG,25_PROSECUTE_BLOT_WUNG.png,25_PROSECUTE_BLOT_WAN.png,25_PROSECUTE_BLOT_WUNG.png,25_PROSECUTE_BLOT_WAN.png,,,,WUNG,WAN,,44,59
44,1712323576850,05/04/2024 13:26:16,1712327176850,1,05/04/2024 15:26:16,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,42,Testing02,Testing,hvzr65,1,response,05_AUROR_BLOT_WIM.png,9732.899999999441,9726.100000000006,9732.899999999441,9732.899999999441,9726.100000000006,9732.899999999441,0,9732.899999999441,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,66,1i-3_66,11,Testing02,05_AUROR,ASK,.png,05_AUROR_ASK.png,BLOT,WIM,05_AUROR_BLOT_WIM.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WAN.png,05_AUROR_BLOT_WIM.png,,,,WIM,WAN,,44,60
45,1712323578881,05/04/2024 13:26:18,1712327178881,1,05/04/2024 15:26:18,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,43,Testing02,Testing,hvzr65,1,response,41_PIXIE_BLOT_WIM.png,2037.5999999992491,2032.6000000000058,2037.5999999992491,2037.5999999992491,2032.6000000000058,2037.5999999992491,1,2037.5999999992491,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,67,1i-3_67,11,Testing02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,BLOT,WIM,41_PIXIE_BLOT_WIM.png,41_PIXIE_BLOT_WUNG.png,41_PIXIE_BLOT_WIM.png,41_PIXIE_BLOT_WUNG.png,,,,WIM,WUNG,,45,61
46,1712323580787,05/04/2024 13:26:20,1712327180787,1,05/04/2024 15:26:20,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,44,Testing02,Testing,hvzr65,1,response,21_TEACHHOG_BLOT_WAN.png,1911.7999999999884,1907.6999999999825,1911.7999999999884,1911.7999999999884,1907.6999999999825,1911.7999999999884,1,1911.7999999999884,0,0,,Click Response,RightOption,3,object-86,1i-3,_,68,1i-3_68,11,Testing02,21_TEACHHOG,ASK,.png,21_TEACHHOG_ASK.png,BLOT,WUNG,21_TEACHHOG_BLOT_WUNG.png,21_TEACHHOG_BLOT_WAN.png,21_TEACHHOG_BLOT_WAN.png,21_TEACHHOG_BLOT_WUNG.png,,,,WUNG,WAN,,46,62
47,1712323582634,05/04/2024 13:26:22,1712327182634,1,05/04/2024 15:26:22,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,45,Testing02,Testing,hvzr65,1,response,20_PULLSWORD_BLOT_WIM.png,1850.7999999992608,1845.3000000000175,1850.7999999992608,1850.7999999992608,1845.3000000000175,1850.7999999992608,1,1850.7999999992608,0,0,,Click Response,LeftOption,4,object-112,1i-3,_,71,1i-3_71,12,Testing02,20_PULLSWORD,ASK,.png,20_PULLSWORD_ASK.png,BLOT,WIM,20_PULLSWORD_BLOT_WIM.png,20_PULLSWORD_BLOT_WAN.png,20_PULLSWORD_BLOT_WIM.png,20_PULLSWORD_BLOT_WAN.png,,,,WIM,WAN,,47,63
48,1712323585152,05/04/2024 13:26:25,1712327185152,1,05/04/2024 15:26:25,139619,19,task-ajpl,,36771459,BLIND,10841758,,complete,,660ff40e8fbdb2d74f6b7513,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,1i-3 B Testing,4,,,1i-3,,,Pass,,1i-3 B Testing,1i-3 B Testing,46,Testing02,Testing,hvzr65,1,response,39_STOPHAGRID_BLOT_WIM.png,2524.1999999994296,2518.1999999999825,2524.1999999994296,2524.1999999994296,2518.1999999999825,2524.1999999994296,0,2524.1999999994296,0,0,,Click Response,RightOption,3,object-86,1i-3,_,69,1i-3_69,12,Testing02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,BLOT,WUNG,39_STOPHAGRID_BLOT_WUNG.png,39_STOPHAGRID_BLOT_WIM.png,39_STOPHAGRID_BLOT_WUNG.png,39_STOPHAGRID_BLOT_WIM.png,,,,WUNG,WIM,,47,64
