Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
50,1712314385491,05/04/2024 10:53:05,1712317985491,1,05/04/2024 12:53:05,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,12,Training01,Training01A,34efq7,1,response,DAIN,1981.6599999999744,4013.2799999999697,4018.5599999999977,1981.6599999999744,4013.2799999999697,4018.5599999999977,1,1981.6599999999744,2036.9000000000233,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
51,1712314394424,05/04/2024 10:53:14,1712317994424,1,05/04/2024 12:53:14,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,12,Training01,Training01B,2yfdu9,2,response,,8939.280000000028,8927.440000000002,8939.280000000028,8939.280000000028,8927.440000000002,8939.280000000028,1,8939.280000000028,0,0,,Click Response,Option B,5,object-246,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
52,1712314395775,05/04/2024 10:53:15,1712317995775,1,05/04/2024 12:53:15,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,12,Training01,Training01C,1ouhhw,3,continue,,1360.8400000000256,1348.8600000000442,1360.8400000000256,1360.8400000000256,1348.8600000000442,1360.8400000000256,1,1360.8400000000256,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,2,_,,,,,MHD,09,MHD_09,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,DAIN,,,09_WEDDING_DAIN.png,DAIN,,,,,,07_RIDDLE_ASK.png,BLOT,07_RIDDLE_BLOT.png,DAIN,MELK,DAIN,MELK,07_RIDDLE_MELK.png,,MELK,,,,
53,1712314402287,05/04/2024 10:53:22,1712318002287,1,05/04/2024 12:53:22,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,13,Training01,Training01A,34efq7,1,response,MELK,3580.2999999999884,6511.159999999974,6523.979999999981,3580.2999999999884,6511.159999999974,6523.979999999981,1,3580.2999999999884,2943.679999999993,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,MHD,15,MHD_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,MELK,,,07_RIDDLE_MELK.png,MELK,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,MELK,HOAT,MELK,HOAT,08_SLUGHORN_HOAT.png,,HOAT,,,,
54,1712314406801,05/04/2024 10:53:26,1712318006801,1,05/04/2024 12:53:26,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,13,Training01,Training01B,2yfdu9,2,response,,4527.820000000007,4512.859999999986,4527.820000000007,4527.820000000007,4512.859999999986,4527.820000000007,1,4527.820000000007,0,0,,Click Response,Option B,5,object-246,Training01,,3,_,,,,,MHD,15,MHD_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,MELK,,,07_RIDDLE_MELK.png,MELK,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,MELK,HOAT,MELK,HOAT,08_SLUGHORN_HOAT.png,,HOAT,,,,
55,1712314408018,05/04/2024 10:53:28,1712318008018,1,05/04/2024 12:53:28,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,13,Training01,Training01C,1ouhhw,3,continue,,1230.960000000021,1215.640000000014,1230.960000000021,1230.960000000021,1215.640000000014,1230.960000000021,1,1230.960000000021,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,MHD,15,MHD_15,07_RIDDLE,,ASK,.png,07_RIDDLE_ASK.png,MELK,,,07_RIDDLE_MELK.png,MELK,,,,,,08_SLUGHORN_ASK.png,BLOT,08_SLUGHORN_BLOT.png,MELK,HOAT,MELK,HOAT,08_SLUGHORN_HOAT.png,,HOAT,,,,
56,1712314419187,05/04/2024 10:53:39,1712318019187,1,05/04/2024 12:53:39,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,14,Training01,Training01A,34efq7,1,response,HOAT,3846.7399999999907,11173.900000000023,11185.320000000007,3846.7399999999907,11173.900000000023,11185.320000000007,1,3846.7399999999907,7338.580000000016,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,MHD,16,MHD_16,11_WAND,,ASK,.png,11_WAND_ASK.png,HOAT,,,11_WAND_HOAT.png,HOAT,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,HOAT,DAIN,HOAT,DAIN,12_TOAD_DAIN.png,,DAIN,,,,
57,1712314426043,05/04/2024 10:53:46,1712318026043,1,05/04/2024 12:53:46,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,14,Training01,Training01B,2yfdu9,2,response,,6866.419999999984,6860.859999999986,6866.419999999984,6866.419999999984,6860.859999999986,6866.419999999984,1,6866.419999999984,0,0,,Click Response,Option B,5,object-246,Training01,,3,_,,,,,MHD,16,MHD_16,11_WAND,,ASK,.png,11_WAND_ASK.png,HOAT,,,11_WAND_HOAT.png,HOAT,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,HOAT,DAIN,HOAT,DAIN,12_TOAD_DAIN.png,,DAIN,,,,
58,1712314427174,05/04/2024 10:53:47,1712318027174,1,05/04/2024 12:53:47,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,14,Training01,Training01C,1ouhhw,3,continue,,1136.5599999999977,1132.3800000000047,1136.5599999999977,1136.5599999999977,1132.3800000000047,1136.5599999999977,1,1136.5599999999977,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,MHD,16,MHD_16,11_WAND,,ASK,.png,11_WAND_ASK.png,HOAT,,,11_WAND_HOAT.png,HOAT,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,HOAT,DAIN,HOAT,DAIN,12_TOAD_DAIN.png,,DAIN,,,,
59,1712314436505,05/04/2024 10:53:56,1712318036505,1,05/04/2024 12:53:56,139619,19,task-xxab,,36767471,BLIND,10840771,,complete,,660fd58609b3e7295b943d35,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x864,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,15,Training01,Training01A,34efq7,1,response,MELK,7044.059999999998,9325.460000000021,9335.179999999993,7044.059999999998,9325.460000000021,9335.179999999993,1,7044.059999999998,2291.1199999999953,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,MHD,17,MHD_17,13_GRYFFINDOR,,ASK,.png,13_GRYFFINDOR_ASK.png,MELK,,,13_GRYFFINDOR_MELK.png,MELK,,,,,,15_BATBOGEYHEX_ASK.png,BLOT,15_BATBOGEYHEX_BLOT.png,DAIN,MELK,MELK,DAIN,15_BATBOGEYHEX_DAIN.png,DAIN,,,,,
