Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
60,1712313190130,05/04/2024 10:33:10,1712316790130,1,05/04/2024 12:33:10,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,17,Training02,TrainingA,34efq7,1,response,ZETH WAN,4766.53899999999,10417.018999999971,10430.308000035759,4766.53899999999,10417.018999999971,10430.308000035759,1,4766.53899999999,5663.769000035769,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,18,1i-2_18,5,Training02,05_AUROR,ASK,.png,05_AUROR_ASK.png,ZETH,WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,11_RONWAND_ASK.png,11_RONWAND_DOTS.png,ZETH WAN,RUSP WIM,ZETH WAN,RUSP WIM,11_RONWAND_RUSP_WIM.png,,RUSP WIM,,,,
61,1712313191605,05/04/2024 10:33:11,1712316791605,1,05/04/2024 12:33:11,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,17,Training02,TrainingB,2yfdu9,2,response,,1488.8890000000247,1482.9410000000498,1488.8890000000247,1488.8890000000247,1482.9410000000498,1488.8890000000247,1,1488.8890000000247,0,0,,Click Response,Option B,5,object-246,1i-2,_,18,1i-2_18,5,Training02,05_AUROR,ASK,.png,05_AUROR_ASK.png,ZETH,WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,11_RONWAND_ASK.png,11_RONWAND_DOTS.png,ZETH WAN,RUSP WIM,ZETH WAN,RUSP WIM,11_RONWAND_RUSP_WIM.png,,RUSP WIM,,,,
62,1712313192592,05/04/2024 10:33:12,1712316792592,1,05/04/2024 12:33:12,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,17,Training02,TrainingC,1ouhhw,3,continue,,992.4479999999749,983.5139999999665,992.4479999999749,992.4479999999749,983.5139999999665,992.4479999999749,1,992.4479999999749,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,18,1i-2_18,5,Training02,05_AUROR,ASK,.png,05_AUROR_ASK.png,ZETH,WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,11_RONWAND_ASK.png,11_RONWAND_DOTS.png,ZETH WAN,RUSP WIM,ZETH WAN,RUSP WIM,11_RONWAND_RUSP_WIM.png,,RUSP WIM,,,,
63,1712313196931,05/04/2024 10:33:16,1712316796931,1,05/04/2024 12:33:16,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,18,Training02,TrainingA,34efq7,1,response,RUSP WIM,2183.484999999986,4333.1720000000205,4346.934000000008,2183.484999999986,4333.1720000000205,4346.934000000008,1,2183.484999999986,2163.4490000000224,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,17,1i-2_17,5,Training02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,RUSP,WIM,25_PROSECUTE_RUSP_WIM.png,,RUSP WIM,04_WHEEZES_ASK.png,04_WHEEZES_DOTS.png,FICH WAN,RUSP WIM,RUSP WIM,FICH WAN,04_WHEEZES_FICH_WAN.png,FICH WAN,,,,,
64,1712313198742,05/04/2024 10:33:18,1712316798742,1,05/04/2024 12:33:18,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,18,Training02,TrainingB,2yfdu9,2,response,,1826.0620000119088,1816.7029999999795,1826.0620000119088,1826.0620000119088,1816.7029999999795,1826.0620000119088,1,1826.0620000119088,0,0,,Click Response,Option A,4,object-245,1i-2,_,17,1i-2_17,5,Training02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,RUSP,WIM,25_PROSECUTE_RUSP_WIM.png,,RUSP WIM,04_WHEEZES_ASK.png,04_WHEEZES_DOTS.png,FICH WAN,RUSP WIM,RUSP WIM,FICH WAN,04_WHEEZES_FICH_WAN.png,FICH WAN,,,,,
65,1712313199198,05/04/2024 10:33:19,1712316799198,1,05/04/2024 12:33:19,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,18,Training02,TrainingC,1ouhhw,3,continue,,465.8590000119293,450.28000000002794,465.8590000119293,465.8590000119293,450.28000000002794,465.8590000119293,1,465.8590000119293,0,0,,Click To Continue,Continue Button,6,object-272,1i-2,_,17,1i-2_17,5,Training02,25_PROSECUTE,ASK,.png,25_PROSECUTE_ASK.png,RUSP,WIM,25_PROSECUTE_RUSP_WIM.png,,RUSP WIM,04_WHEEZES_ASK.png,04_WHEEZES_DOTS.png,FICH WAN,RUSP WIM,RUSP WIM,FICH WAN,04_WHEEZES_FICH_WAN.png,FICH WAN,,,,,
66,1712313212585,05/04/2024 10:33:32,1712316812585,1,05/04/2024 12:33:32,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,19,Training02,TrainingA,34efq7,1,response,FICH WAN ,1966.2779999999912,13399.73099999997,13402.379000023822,1966.2779999999912,13399.73099999997,13402.379000023822,0,1966.2779999999912,11436.101000023831,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,19,1i-2_19,5,Training02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,FICH,WAN,41_PIXIE_FICH_WAN.png,,FICH WAN,35_PROPHET_ASK.png,35_PROPHET_DOTS.png,WOUX WUNG,FICH WAN,FICH WAN,WOUX WUNG,35_PROPHET_WOUX_WUNG.png,WOUX WUNG,,,,,
67,1712313213338,05/04/2024 10:33:33,1712316813338,1,05/04/2024 12:33:33,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,19,Training02,TrainingA,34efq7,1,response,FICH WAN ,14154.47899998806,14149.771000000008,14154.47899998806,14154.47899998806,14149.771000000008,14154.47899998806,0,14154.47899998806,0,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,19,1i-2_19,5,Training02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,FICH,WAN,41_PIXIE_FICH_WAN.png,,FICH WAN,35_PROPHET_ASK.png,35_PROPHET_DOTS.png,WOUX WUNG,FICH WAN,FICH WAN,WOUX WUNG,35_PROPHET_WOUX_WUNG.png,WOUX WUNG,,,,,
68,1712313214066,05/04/2024 10:33:34,1712316814066,1,05/04/2024 12:33:34,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,19,Training02,TrainingA,34efq7,1,response,FICH WAN ,14882.579000011901,14866.699999999953,14882.579000011901,14882.579000011901,14866.699999999953,14882.579000011901,0,14882.579000011901,0,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,19,1i-2_19,5,Training02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,FICH,WAN,41_PIXIE_FICH_WAN.png,,FICH WAN,35_PROPHET_ASK.png,35_PROPHET_DOTS.png,WOUX WUNG,FICH WAN,FICH WAN,WOUX WUNG,35_PROPHET_WOUX_WUNG.png,WOUX WUNG,,,,,
69,1712313216521,05/04/2024 10:33:36,1712316816521,1,05/04/2024 12:33:36,139619,19,task-kgvj,,36767145,BLIND,10840533,,complete,,660fcf60f56f11ff124a38bd,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,1i-2 A Training,4,,,1i-2,,Pass,,,1i-2 A Training,1i-2 A Training,19,Training02,TrainingA,34efq7,1,response,FICH WAN ,17338.27899999998,17332.964999999967,17338.27899999998,17338.27899999998,17332.964999999967,17338.27899999998,0,17338.27899999998,0,0,,Single Text Entry,TextResponseA,4,object-97,1i-2,_,19,1i-2_19,5,Training02,41_PIXIE,ASK,.png,41_PIXIE_ASK.png,FICH,WAN,41_PIXIE_FICH_WAN.png,,FICH WAN,35_PROPHET_ASK.png,35_PROPHET_DOTS.png,WOUX WUNG,FICH WAN,FICH WAN,WOUX WUNG,35_PROPHET_WOUX_WUNG.png,WOUX WUNG,,,,,
