Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
57,1712417896979,06/04/2024 15:38:16,1712421496979,1,06/04/2024 17:38:16,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,14,Training01,Training01A,34efq7,1,response,HOAT,5183.299999999988,6849.899999999965,6861.000000047672,5183.299999999988,6849.899999999965,6861.000000047672,1,5183.299999999988,1677.7000000476837,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,DMH,14,DMH_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,HOAT,,,06_OPENSECRET_HOAT.png,HOAT,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,MELK,HOAT,HOAT,MELK,05_QUIRRELL_MELK.png,MELK,,,,,
58,1712417902409,06/04/2024 15:38:22,1712421502409,1,06/04/2024 17:38:22,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,14,Training01,Training01B,2yfdu9,2,response,,5440.600000047707,5433.400000000023,5440.600000047707,5440.600000047707,5433.400000000023,5440.600000047707,1,5440.600000047707,0,0,,Click Response,Option A,4,object-245,Training01,,3,_,,,,,DMH,14,DMH_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,HOAT,,,06_OPENSECRET_HOAT.png,HOAT,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,MELK,HOAT,HOAT,MELK,05_QUIRRELL_MELK.png,MELK,,,,,
59,1712417903156,06/04/2024 15:38:23,1712421503156,1,06/04/2024 17:38:23,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,14,Training01,Training01C,1ouhhw,3,continue,,754,750.0999999999767,754,754,750.0999999999767,754,1,754,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,DMH,14,DMH_14,06_OPENSECRET,,ASK,.png,06_OPENSECRET_ASK.png,HOAT,,,06_OPENSECRET_HOAT.png,HOAT,,,,,,05_QUIRRELL_ASK.png,BLOT,05_QUIRRELL_BLOT.png,MELK,HOAT,HOAT,MELK,05_QUIRRELL_MELK.png,MELK,,,,,
60,1712417910171,06/04/2024 15:38:30,1712421510171,1,06/04/2024 17:38:30,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,15,Training01,Training01A,34efq7,1,response,MELK,3716.600000000035,7016.5,7019.100000047707,3716.600000000035,7016.5,7019.100000047707,1,3716.600000000035,3302.500000047672,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,DMH,16,DMH_16,11_WAND,,ASK,.png,11_WAND_ASK.png,MELK,,,11_WAND_MELK.png,MELK,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,MELK,HOAT,MELK,HOAT,12_TOAD_HOAT.png,,HOAT,,,,
61,1712417912481,06/04/2024 15:38:32,1712421512481,1,06/04/2024 17:38:32,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,15,Training01,Training01B,2yfdu9,2,response,,2312.600000047707,2300,2312.600000047707,2312.600000047707,2300,2312.600000047707,1,2312.600000047707,0,0,,Click Response,Option B,5,object-246,Training01,,3,_,,,,,DMH,16,DMH_16,11_WAND,,ASK,.png,11_WAND_ASK.png,MELK,,,11_WAND_MELK.png,MELK,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,MELK,HOAT,MELK,HOAT,12_TOAD_HOAT.png,,HOAT,,,,
62,1712417913333,06/04/2024 15:38:33,1712421513333,1,06/04/2024 17:38:33,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,15,Training01,Training01C,1ouhhw,3,continue,,864.5000000238651,850,864.5000000238651,864.5000000238651,850,864.5000000238651,1,864.5000000238651,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,DMH,16,DMH_16,11_WAND,,ASK,.png,11_WAND_ASK.png,MELK,,,11_WAND_MELK.png,MELK,,,,,,12_TOAD_ASK.png,BLOT,12_TOAD_BLOT.png,MELK,HOAT,MELK,HOAT,12_TOAD_HOAT.png,,HOAT,,,,
63,1712417921715,06/04/2024 15:38:41,1712421521715,1,06/04/2024 17:38:41,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,16,Training01,Training01A,34efq7,1,response,MELK,4966.700000000012,8383.300000000047,8396.500000023865,4966.700000000012,8383.300000000047,8396.500000023865,1,4966.700000000012,3429.8000000238535,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,DMH,18,DMH_18,17_PETRIFIED,,ASK,.png,17_PETRIFIED_ASK.png,MELK,,,17_PETRIFIED_MELK.png,MELK,,,,,,16_PARSELTONGUE_ASK.png,BLOT,16_PARSELTONGUE_BLOT.png,DAIN,MELK,MELK,DAIN,16_PARSELTONGUE_DAIN.png,DAIN,,,,,
64,1712417926266,06/04/2024 15:38:46,1712421526266,1,06/04/2024 17:38:46,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,16,Training01,Training01B,2yfdu9,2,response,,4563.80000004766,4550.099999999977,4563.80000004766,4563.80000004766,4550.099999999977,4563.80000004766,1,4563.80000004766,0,0,,Click Response,Option A,4,object-245,Training01,,3,_,,,,,DMH,18,DMH_18,17_PETRIFIED,,ASK,.png,17_PETRIFIED_ASK.png,MELK,,,17_PETRIFIED_MELK.png,MELK,,,,,,16_PARSELTONGUE_ASK.png,BLOT,16_PARSELTONGUE_BLOT.png,DAIN,MELK,MELK,DAIN,16_PARSELTONGUE_DAIN.png,DAIN,,,,,
65,1712417927313,06/04/2024 15:38:47,1712421527313,1,06/04/2024 17:38:47,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,16,Training01,Training01C,1ouhhw,3,continue,,1061.5,1049.9000000000233,1061.5,1061.5,1049.9000000000233,1061.5,1,1061.5,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,3,_,,,,,DMH,18,DMH_18,17_PETRIFIED,,ASK,.png,17_PETRIFIED_ASK.png,MELK,,,17_PETRIFIED_MELK.png,MELK,,,,,,16_PARSELTONGUE_ASK.png,BLOT,16_PARSELTONGUE_BLOT.png,DAIN,MELK,MELK,DAIN,16_PARSELTONGUE_DAIN.png,DAIN,,,,,
66,1712417934072,06/04/2024 15:38:54,1712421534072,1,06/04/2024 17:38:54,139619,19,task-usty,,36798468,BLIND,10850115,,complete,,66116a903bea68ee5ce139ad,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,5,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,17,Training01,Training01A,34efq7,1,response,DAIN,3366.6999999999534,6766.699999999953,6769.80000004766,3366.6999999999534,6766.699999999953,6769.80000004766,1,3366.6999999999534,3403.100000047707,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3,_,,,,,DMH,17,DMH_17,13_GRYFFINDOR,,ASK,.png,13_GRYFFINDOR_ASK.png,DAIN,,,13_GRYFFINDOR_DAIN.png,DAIN,,,,,,15_BATBOGEYHEX_ASK.png,BLOT,15_BATBOGEYHEX_BLOT.png,HOAT,DAIN,DAIN,HOAT,15_BATBOGEYHEX_HOAT.png,HOAT,,,,,
