Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
26,1712397940153,06/04/2024 10:05:40,1712401540153,1,06/04/2024 12:05:40,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,24,Testing02,Testing,hvzr65,1,response,39_STOPHAGRID_BLOT_WIM.png,19688,19687,19688,19688,19687,19688,0,19688,0,0,,Click Response,RightOption,3,object-86,1e-3,_,45,1e-3_45,6,Testing02,39_STOPHAGRID,ASK,.png,39_STOPHAGRID_ASK.png,BLOT,WAN,39_STOPHAGRID_BLOT_WAN.png,39_STOPHAGRID_BLOT_WIM.png,39_STOPHAGRID_BLOT_WAN.png,39_STOPHAGRID_BLOT_WIM.png,,,,WAN,WIM,,34,42
27,1712397949506,06/04/2024 10:05:49,1712401549506,1,06/04/2024 12:05:49,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,25,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WAN.png,9355,9353,9355,9355,9353,9355,1,9355,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,49,1e-3_49,7,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,,,,WAN,WIM,,35,43
28,1712397956593,06/04/2024 10:05:56,1712401556593,1,06/04/2024 12:05:56,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,26,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,7090,7086,7090,7090,7086,7090,0,7090,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,52,1e-3_52,7,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WUNG,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WUNG.png,,,,WUNG,WAN,,35,44
29,1712397959555,06/04/2024 10:05:59,1712401559555,1,06/04/2024 12:05:59,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,27,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,2966,2951,2966,2966,2951,2966,0,2966,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,50,1e-3_50,7,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WAN,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WAN.png,,,,WAN,WIM,,35,45
30,1712397967778,06/04/2024 10:06:07,1712401567778,1,06/04/2024 12:06:07,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,28,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WUNG.png,8237,8235,8237,8237,8235,8237,1,8237,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,51,1e-3_51,7,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WUNG,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WIM.png,,,,WUNG,WIM,,36,46
31,1712397981365,06/04/2024 10:06:21,1712401581365,1,06/04/2024 12:06:21,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,29,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WUNG.png,13590,13588,13590,13590,13588,13590,1,13590,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,55,1e-3_55,8,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WUNG,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WAN.png,,,,WUNG,WAN,,37,47
32,1712397990133,06/04/2024 10:06:30,1712401590133,1,06/04/2024 12:06:30,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,30,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WIM.png,8770,8768,8770,8770,8768,8770,1,8770,0,0,,Click Response,RightOption,3,object-86,1e-3,_,54,1e-3_54,8,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WUNG,12_SKEETER_BLOT_WUNG.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WUNG.png,,,,WUNG,WIM,,38,48
33,1712397997473,06/04/2024 10:06:37,1712401597473,1,06/04/2024 12:06:37,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,31,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WAN.png,7342,7335,7342,7342,7335,7342,1,7342,0,0,,Click Response,RightOption,3,object-86,1e-3,_,56,1e-3_56,8,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WIM,28_GALLEONS_BLOT_WIM.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WIM.png,,,,WIM,WAN,,39,49
34,1712398007019,06/04/2024 10:06:47,1712401607019,1,06/04/2024 12:06:47,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,32,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WAN.png,9553,9552,9553,9553,9552,9553,1,9553,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,53,1e-3_53,8,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,,,,WAN,WUNG,,40,50
35,1712398018610,06/04/2024 10:06:58,1712401618610,1,06/04/2024 12:06:58,139619,19,task-goty,,36791436,BLIND,10848100,,complete,,661116f3efa1976a541afc45,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.3,1440x900,1427x721,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1e-3 B Testing,33,Testing02,Testing,hvzr65,1,response,32_QWC_BLOT_WIM.png,11593,11587,11593,11593,11587,11593,0,11593,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,57,1e-3_57,9,Testing02,32_QWC,ASK,.png,32_QWC_ASK.png,BLOT,WIM,32_QWC_BLOT_WIM.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WIM.png,,,,WIM,WAN,,40,51
