Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
42,1712396634010,06/04/2024 09:43:54,1712400234010,1,06/04/2024 11:43:54,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,12,Training02,TrainingA,34efq7,1,response,ZETH WUNG,2398.5999999999767,7129.299999999988,7138.099999952305,2398.5999999999767,7129.299999999988,7138.099999952305,1,2398.5999999999767,4739.499999952328,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,12,1e-1i_12,3,Training02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,ZETH,WUNG,14_MUNGOS_ZETH_WUNG.png,,ZETH WUNG,33_ROR_ASK.png,33_ROR_DOTS.png,FICH WAN,ZETH WUNG,ZETH WUNG,FICH WAN,33_ROR_FICH_WAN.png,FICH WAN,,,,,
43,1712396637600,06/04/2024 09:43:57,1712400237600,1,06/04/2024 11:43:57,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,12,Training02,TrainingB,2yfdu9,2,response,,3598.600000000035,3581.7000000000116,3598.600000000035,3598.600000000035,3581.7000000000116,3598.600000000035,1,3598.600000000035,0,0,,Click Response,Option A,4,object-245,1e-1i,_,12,1e-1i_12,3,Training02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,ZETH,WUNG,14_MUNGOS_ZETH_WUNG.png,,ZETH WUNG,33_ROR_ASK.png,33_ROR_DOTS.png,FICH WAN,ZETH WUNG,ZETH WUNG,FICH WAN,33_ROR_FICH_WAN.png,FICH WAN,,,,,
44,1712396640616,06/04/2024 09:44:00,1712400240616,1,06/04/2024 11:44:00,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,12,Training02,TrainingC,1ouhhw,3,continue,,3033.2999999999884,3031.5,3033.2999999999884,3033.2999999999884,3031.5,3033.2999999999884,1,3033.2999999999884,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,12,1e-1i_12,3,Training02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,ZETH,WUNG,14_MUNGOS_ZETH_WUNG.png,,ZETH WUNG,33_ROR_ASK.png,33_ROR_DOTS.png,FICH WAN,ZETH WUNG,ZETH WUNG,FICH WAN,33_ROR_FICH_WAN.png,FICH WAN,,,,,
45,1712396649132,06/04/2024 09:44:09,1712400249132,1,06/04/2024 11:44:09,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,13,Training02,TrainingA,34efq7,1,response,WOUX WIM,2898.2999999999884,8512,8518.299999999988,2898.2999999999884,8512,8518.299999999988,1,2898.2999999999884,5620,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,15,1e-1i_15,4,Training02,06_MOM,ASK,.png,06_MOM_ASK.png,WOUX,WIM,06_MOM_WOUX_WIM.png,,WOUX WIM,26_ERISED_ASK.png,26_ERISED_DOTS.png,WOUX WIM,FICH WAN,WOUX WIM,FICH WAN,26_ERISED_FICH_WAN.png,,FICH WAN,,,,
46,1712396650896,06/04/2024 09:44:10,1712400250896,1,06/04/2024 11:44:10,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,13,Training02,TrainingB,2yfdu9,2,response,,1770.1999999761465,1765.7000000000116,1770.1999999761465,1770.1999999761465,1765.7000000000116,1770.1999999761465,1,1770.1999999761465,0,0,,Click Response,Option A,4,object-245,1e-1i,_,15,1e-1i_15,4,Training02,06_MOM,ASK,.png,06_MOM_ASK.png,WOUX,WIM,06_MOM_WOUX_WIM.png,,WOUX WIM,26_ERISED_ASK.png,26_ERISED_DOTS.png,WOUX WIM,FICH WAN,WOUX WIM,FICH WAN,26_ERISED_FICH_WAN.png,,FICH WAN,,,,
47,1712396652838,06/04/2024 09:44:12,1712400252838,1,06/04/2024 11:44:12,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,13,Training02,TrainingC,1ouhhw,3,continue,,1945.899999952293,1932.5,1945.899999952293,1945.899999952293,1932.5,1945.899999952293,1,1945.899999952293,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,15,1e-1i_15,4,Training02,06_MOM,ASK,.png,06_MOM_ASK.png,WOUX,WIM,06_MOM_WOUX_WIM.png,,WOUX WIM,26_ERISED_ASK.png,26_ERISED_DOTS.png,WOUX WIM,FICH WAN,WOUX WIM,FICH WAN,26_ERISED_FICH_WAN.png,,FICH WAN,,,,
48,1712396661001,06/04/2024 09:44:21,1712400261001,1,06/04/2024 11:44:21,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,14,Training02,TrainingA,34efq7,1,response,ZETH WUNG,3115.1999999999534,8161.899999999965,8176.699999964214,3115.1999999999534,8161.899999999965,8176.699999964214,1,3115.1999999999534,5061.4999999642605,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,16,1e-1i_16,4,Training02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,ZETH,WUNG,42_ENGLAND_ZETH_WUNG.png,,ZETH WUNG,41_PIXIE_ASK.png,41_PIXIE_DOTS.png,WOUX WIM,ZETH WUNG,ZETH WUNG,WOUX WIM,41_PIXIE_WOUX_WIM.png,WOUX WIM,,,,,
49,1712396664145,06/04/2024 09:44:24,1712400264145,1,06/04/2024 11:44:24,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,14,Training02,TrainingB,2yfdu9,2,response,,3158.799999964249,3148.7000000000116,3158.799999964249,3158.799999964249,3148.7000000000116,3158.799999964249,1,3158.799999964249,0,0,,Click Response,Option A,4,object-245,1e-1i,_,16,1e-1i_16,4,Training02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,ZETH,WUNG,42_ENGLAND_ZETH_WUNG.png,,ZETH WUNG,41_PIXIE_ASK.png,41_PIXIE_DOTS.png,WOUX WIM,ZETH WUNG,ZETH WUNG,WOUX WIM,41_PIXIE_WOUX_WIM.png,WOUX WIM,,,,,
50,1712396666039,06/04/2024 09:44:26,1712400266039,1,06/04/2024 11:44:26,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,14,Training02,TrainingC,1ouhhw,3,continue,,1903.8999999761581,1898.5999999999767,1903.8999999761581,1903.8999999761581,1898.5999999999767,1903.8999999761581,1,1903.8999999761581,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,16,1e-1i_16,4,Training02,42_ENGLAND,ASK,.png,42_ENGLAND_ASK.png,ZETH,WUNG,42_ENGLAND_ZETH_WUNG.png,,ZETH WUNG,41_PIXIE_ASK.png,41_PIXIE_DOTS.png,WOUX WIM,ZETH WUNG,ZETH WUNG,WOUX WIM,41_PIXIE_WOUX_WIM.png,WOUX WIM,,,,,
51,1712396671613,06/04/2024 09:44:31,1712400271613,1,06/04/2024 11:44:31,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,15,Training02,TrainingA,34efq7,1,response,FICH WAN,2748.8000000000466,5563.600000000035,5579.69999995234,2748.8000000000466,5563.600000000035,5579.69999995234,1,2748.8000000000466,2830.899999952293,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,13,1e-1i_13,4,Training02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,FICH,WAN,11_RONWAND_FICH_WAN.png,,FICH WAN,06_MOM_ASK.png,06_MOM_DOTS.png,RUSP WAN,FICH WAN,FICH WAN,RUSP WAN,06_MOM_RUSP_WAN.png,RUSP WAN,,,,,
52,1712396674240,06/04/2024 09:44:34,1712400274240,1,06/04/2024 11:44:34,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,15,Training02,TrainingB,2yfdu9,2,response,,2642.3999999642256,2631.899999999965,2642.3999999642256,2642.3999999642256,2631.899999999965,2642.3999999642256,1,2642.3999999642256,0,0,,Click Response,Option A,4,object-245,1e-1i,_,13,1e-1i_13,4,Training02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,FICH,WAN,11_RONWAND_FICH_WAN.png,,FICH WAN,06_MOM_ASK.png,06_MOM_DOTS.png,RUSP WAN,FICH WAN,FICH WAN,RUSP WAN,06_MOM_RUSP_WAN.png,RUSP WAN,,,,,
53,1712396677937,06/04/2024 09:44:37,1712400277937,1,06/04/2024 11:44:37,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,15,Training02,TrainingC,1ouhhw,3,continue,,3707.6999999523396,3698.100000000035,3707.6999999523396,3707.6999999523396,3698.100000000035,3707.6999999523396,1,3707.6999999523396,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,13,1e-1i_13,4,Training02,11_RONWAND,ASK,.png,11_RONWAND_ASK.png,FICH,WAN,11_RONWAND_FICH_WAN.png,,FICH WAN,06_MOM_ASK.png,06_MOM_DOTS.png,RUSP WAN,FICH WAN,FICH WAN,RUSP WAN,06_MOM_RUSP_WAN.png,RUSP WAN,,,,,
54,1712396686458,06/04/2024 09:44:46,1712400286458,1,06/04/2024 11:44:46,139619,19,task-crro,,36791118,BLIND,10848058,,complete,,6611159c6f36eb68c5050eab,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x606,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1e-1i A Training,16,Training02,TrainingA,34efq7,1,response,RUSP WAN,3697.899999999965,8528.5,8531.099999952305,3697.899999999965,8528.5,8531.099999952305,1,3697.899999999965,4833.19999995234,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,14,1e-1i_14,4,Training02,33_ROR,ASK,.png,33_ROR_ASK.png,RUSP,WAN,33_ROR_RUSP_WAN.png,,RUSP WAN,19_BURYVOLDY_ASK.png,19_BURYVOLDY_DOTS.png,RUSP WAN,ZETH WUNG,RUSP WAN,ZETH WUNG,19_BURYVOLDY_ZETH_WUNG.png,,ZETH WUNG,,,,
