Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
6,1712444864256,06/04/2024 23:07:44,1712448464256,1,07/04/2024 01:07:44,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Fich Question,old87p,3,response,Not sure,5633.340000000004,8416.660000000003,8433.320000000007,5633.340000000004,8416.660000000003,8433.320000000007,1,5633.340000000004,2799.980000000003,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712444871504,06/04/2024 23:07:51,1712448471504,1,07/04/2024 01:07:51,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,Not sure,950,7250,7264.739999999998,950,7250,7264.739999999998,1,950,6314.739999999998,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712444872631,06/04/2024 23:07:52,1712448472631,1,07/04/2024 01:07:52,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,Not sure,883.3399999999965,1133.3399999999965,1141.739999999998,883.3399999999965,1133.3399999999965,1141.739999999998,1,883.3399999999965,258.40000000000146,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712444873711,06/04/2024 23:07:53,1712448473711,1,07/04/2024 01:07:53,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,Not sure,750,1083.3400000000038,1089.4000000000015,750,1083.3400000000038,1089.4000000000015,1,750,339.40000000000146,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712444876150,06/04/2024 23:07:56,1712448476150,1,07/04/2024 01:07:56,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2445.0599999999977,2433.3199999999997,2445.0599999999977,2445.0599999999977,2433.3199999999997,2445.0599999999977,1,2445.0599999999977,0,0,,Click To Continue,Continue Button,2,object-4,End,
11,1712444876151,06/04/2024 23:07:56,1712448476151,1,07/04/2024 01:07:56,139619,19,task-77zz,,36804622,BLIND,10852236,,complete,,6611cf7bf97b450c1d826d3a,computer,Desktop or Laptop,Windows 8.1,Firefox 115.0,1920x1080,1053x917,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712452202806,07/04/2024 01:10:02,1712455802806,1,07/04/2024 03:10:02,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712452224740,07/04/2024 01:10:24,1712455824740,1,07/04/2024 03:10:24,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,21939.56800000298,21938.467999999997,21939.56800000298,21939.56800000298,21938.467999999997,21939.56800000298,0,21939.56800000298,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712452224741,07/04/2024 01:10:24,1712455824741,1,07/04/2024 03:10:24,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Juice,17946.368,21938.467999999997,21940.368,17946.368,21938.467999999997,21940.368,0,17946.368,3994,0,,Dropdown,Dropdown,4,object-10,End,
4,1712452236626,07/04/2024 01:10:36,1712455836626,1,07/04/2024 03:10:36,139619,19,task-77zz,,36805185,BLIND,10852414,,complete,,6611ec247d3e3a9bda520622,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,2048x1152,2040x996,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,11886.79999999106,11885.599999999999,11886.79999999106,11886.79999999106,11885.599999999999,11886.79999999106,0,11886.79999999106,0,0,,Click To Continue,Continue Button,2,object-14,End,
