Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
11,1702981856214,19/12/2023 10:30:56,1702981856214,0,19/12/2023 10:30:56,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingC,1ouhhw,3,continue,,6912.600000005958,6910.099999999991,6912.600000005958,6912.600000005958,6910.099999999991,6912.600000005958,1,6912.600000005958,0,0,,Click To Continue,Continue Button,6,object-272,1i-3,_,01,1i-3_01,1,Training02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,FICH,WUNG,04_WHEEZES_FICH_WUNG.png,,FICH WUNG,05_AUROR_ASK.png,05_AUROR_DOTS.png,FICH WUNG,ZETH WAN,FICH WUNG,ZETH WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,,,,
12,1702981870569,19/12/2023 10:31:10,1702981870569,0,19/12/2023 10:31:10,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,2,Training02,TrainingA,34efq7,1,response,WOUX WAN,2916.7000000000116,14354.800000000003,14357.300000002986,2916.7000000000116,14354.800000000003,14357.300000002986,1,2916.7000000000116,11440.600000002974,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
13,1702981882603,19/12/2023 10:31:22,1702981882603,0,19/12/2023 10:31:22,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,2,Training02,TrainingB,2yfdu9,2,response,,12036.500000002983,12035.300000000003,12036.500000002983,12036.500000002983,12035.300000000003,12036.500000002983,1,12036.500000002983,0,0,,Click Response,Option B,5,object-246,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
14,1702981886330,19/12/2023 10:31:26,1702981886330,0,19/12/2023 10:31:26,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,2,Training02,TrainingC,1ouhhw,3,continue,,3727.7999999970198,3722.5,3727.7999999970198,3727.7999999970198,3722.5,3727.7999999970198,1,3727.7999999970198,0,0,,Click To Continue,Continue Button,6,object-272,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
15,1702981899903,19/12/2023 10:31:39,1702981899903,0,19/12/2023 10:31:39,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,3,Training02,TrainingA,34efq7,1,response,ZETH WAN,3430.699999999997,13577,13578.59999999404,3430.699999999997,13577,13578.59999999404,1,3430.699999999997,10147.899999994042,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,02,1i-3_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,ZETH,WAN,40_BURYSNAPE_ZETH_WAN.png,,ZETH WAN,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,WOUX WAN,ZETH WAN,ZETH WAN,WOUX WAN,20_PULLSWORD_WOUX_WAN.png,WOUX WAN,,,,,
16,1702981908209,19/12/2023 10:31:48,1702981908209,0,19/12/2023 10:31:48,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,3,Training02,TrainingB,2yfdu9,2,response,,8308.20000000298,8305.899999999994,8308.20000000298,8308.20000000298,8305.899999999994,8308.20000000298,1,8308.20000000298,0,0,,Click Response,Option B,5,object-246,1i-3,_,02,1i-3_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,ZETH,WAN,40_BURYSNAPE_ZETH_WAN.png,,ZETH WAN,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,WOUX WAN,ZETH WAN,ZETH WAN,WOUX WAN,20_PULLSWORD_WOUX_WAN.png,WOUX WAN,,,,,
17,1702981909383,19/12/2023 10:31:49,1702981909383,0,19/12/2023 10:31:49,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,3,Training02,TrainingC,1ouhhw,3,continue,,1176.1999999940454,1173.7000000000116,1176.1999999940454,1176.1999999940454,1173.7000000000116,1176.1999999940454,1,1176.1999999940454,0,0,,Click To Continue,Continue Button,6,object-272,1i-3,_,02,1i-3_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,ZETH,WAN,40_BURYSNAPE_ZETH_WAN.png,,ZETH WAN,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,WOUX WAN,ZETH WAN,ZETH WAN,WOUX WAN,20_PULLSWORD_WOUX_WAN.png,WOUX WAN,,,,,
18,1702981919134,19/12/2023 10:31:59,1702981919134,0,19/12/2023 10:31:59,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,4,Training02,TrainingA,34efq7,1,response,RUSP WIM,3305.699999999997,9750.5,9752.899999999994,3305.699999999997,9750.5,9752.899999999994,1,3305.699999999997,6447.199999999997,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,03,1i-3_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,RUSP,WIM,13_QUIBBLER_RUSP_WIM.png,,RUSP WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WUNG,RUSP WIM,RUSP WIM,FICH WUNG,27_BESTSELLER_FICH_WUNG.png,FICH WUNG,,,,,
19,1702981927313,19/12/2023 10:32:07,1702981927313,0,19/12/2023 10:32:07,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,4,Training02,TrainingB,2yfdu9,2,response,,8181.999999994034,8180.899999999994,8181.999999994034,8181.999999994034,8180.899999999994,8181.999999994034,1,8181.999999994034,0,0,,Click Response,Option B,5,object-246,1i-3,_,03,1i-3_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,RUSP,WIM,13_QUIBBLER_RUSP_WIM.png,,RUSP WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WUNG,RUSP WIM,RUSP WIM,FICH WUNG,27_BESTSELLER_FICH_WUNG.png,FICH WUNG,,,,,
20,1702981929268,19/12/2023 10:32:09,1702981929268,0,19/12/2023 10:32:09,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,4,Training02,TrainingC,1ouhhw,3,continue,,1956.4000000059605,1951.5,1956.4000000059605,1956.4000000059605,1951.5,1956.4000000059605,1,1956.4000000059605,0,0,,Click To Continue,Continue Button,6,object-272,1i-3,_,03,1i-3_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,RUSP,WIM,13_QUIBBLER_RUSP_WIM.png,,RUSP WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WUNG,RUSP WIM,RUSP WIM,FICH WUNG,27_BESTSELLER_FICH_WUNG.png,FICH WUNG,,,,,
