Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
13,1702982982156,19/12/2023 10:49:42,1702982982156,0,19/12/2023 10:49:42,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,7,Testing01,Testing,hvzr65,1,response,16_PARSELTONGUE_MELK.png,1968.8999999999942,1953.199999999997,1968.8999999999942,1968.8999999999942,1953.199999999997,1968.8999999999942,1,1968.8999999999942,0,0,,Click Response,LeftOption,4,object-85,Testing01,2,_,,HDM,30,HDM_30,16_PARSELTONGUE,,ASK,.png,16_PARSELTONGUE_ASK.png,16_PARSELTONGUE_MELK.png,MELK,,,,,,MELK,16_PARSELTONGUE_MELK.png,DAIN,16_PARSELTONGUE_DAIN.png,DAIN,16_PARSELTONGUE_DAIN.png,,7,7
14,1702982985004,19/12/2023 10:49:45,1702982985004,0,19/12/2023 10:49:45,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,8,Testing01,Testing,hvzr65,1,response,02_SNITCH_HOAT.png,2864.9000000953674,2859.4000000000015,2864.9000000953674,2864.9000000953674,2859.4000000000015,2864.9000000953674,1,2864.9000000953674,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,25,HDM_25,02_SNITCH,,ASK,.png,02_SNITCH_ASK.png,02_SNITCH_HOAT.png,HOAT,,,,,,DAIN,02_SNITCH_DAIN.png,HOAT,02_SNITCH_HOAT.png,DAIN,02_SNITCH_DAIN.png,,8,8
15,1702982986595,19/12/2023 10:49:46,1702982986595,0,19/12/2023 10:49:46,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,9,Testing01,Testing,hvzr65,1,response,09_WEDDING_DAIN.png,1597.3999999523148,1593.7999999999956,1597.3999999523148,1597.3999999523148,1593.7999999999956,1597.3999999523148,1,1597.3999999523148,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,27,HDM_27,09_WEDDING,,ASK,.png,09_WEDDING_ASK.png,09_WEDDING_DAIN.png,DAIN,,,,,,MELK,09_WEDDING_MELK.png,DAIN,09_WEDDING_DAIN.png,MELK,09_WEDDING_MELK.png,,9,9
16,1702982988857,19/12/2023 10:49:48,1702982988857,0,19/12/2023 10:49:48,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,10,Testing01,Testing,hvzr65,1,response,10_TROLL_MELK.png,2265.0000000476866,2249.9000000000015,2265.0000000476866,2265.0000000476866,2249.9000000000015,2265.0000000476866,1,2265.0000000476866,0,0,,Click Response,RightOption,3,object-86,Testing01,2,_,,HDM,28,HDM_28,10_TROLL,,ASK,.png,10_TROLL_ASK.png,10_TROLL_MELK.png,MELK,,,,,,HOAT,10_TROLL_HOAT.png,MELK,10_TROLL_MELK.png,HOAT,10_TROLL_HOAT.png,,10,10
17,1702982991117,19/12/2023 10:49:51,1702982991117,0,19/12/2023 10:49:51,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,11,Testing01,Testing,hvzr65,1,response,05_QUIRRELL_HOAT.png,2274.6999999523177,2265.7000000000044,2274.6999999523177,2274.6999999523177,2265.7000000000044,2274.6999999523177,1,2274.6999999523177,0,0,,Click Response,LeftOption,4,object-85,Testing01,2,_,,HDM,26,HDM_26,05_QUIRRELL,,ASK,.png,05_QUIRRELL_ASK.png,05_QUIRRELL_HOAT.png,HOAT,,,,,,HOAT,05_QUIRRELL_HOAT.png,MELK,05_QUIRRELL_MELK.png,MELK,05_QUIRRELL_MELK.png,,11,11
18,1702982992971,19/12/2023 10:49:52,1702982992971,0,19/12/2023 10:49:52,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,12,Testing01,Testing,hvzr65,1,response,15_BATBOGEYHEX_DAIN.png,1863.8000001430482,1859.2999999999956,1863.8000001430482,1863.8000001430482,1859.2999999999956,1863.8000001430482,1,1863.8000001430482,0,0,,Click Response,LeftOption,4,object-85,Testing01,2,_,,HDM,29,HDM_29,15_BATBOGEYHEX,,ASK,.png,15_BATBOGEYHEX_ASK.png,15_BATBOGEYHEX_DAIN.png,DAIN,,,,,,DAIN,15_BATBOGEYHEX_DAIN.png,HOAT,15_BATBOGEYHEX_HOAT.png,HOAT,15_BATBOGEYHEX_HOAT.png,,12,12
19,1702982995971,19/12/2023 10:49:55,1702982995971,0,19/12/2023 10:49:55,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,13,Testing01,Testing,hvzr65,1,response,03_NAGINI_DAIN.png,3004.5000001430526,3000,3004.5000001430526,3004.5000001430526,3000,3004.5000001430526,1,3004.5000001430526,0,0,,Click Response,RightOption,3,object-86,Testing01,3,_,,HDM,31,HDM_31,03_NAGINI,,ASK,.png,03_NAGINI_ASK.png,03_NAGINI_DAIN.png,DAIN,,,,,,MELK,03_NAGINI_MELK.png,DAIN,03_NAGINI_DAIN.png,MELK,03_NAGINI_MELK.png,,13,13
20,1702982997803,19/12/2023 10:49:57,1702982997803,0,19/12/2023 10:49:57,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,14,Testing01,Testing,hvzr65,1,response,17_PETRIFIED_HOAT.png,1836.4000000000015,1828.0999999999985,1836.4000000000015,1836.4000000000015,1828.0999999999985,1836.4000000000015,1,1836.4000000000015,0,0,,Click Response,LeftOption,4,object-85,Testing01,3,_,,HDM,36,HDM_36,17_PETRIFIED,,ASK,.png,17_PETRIFIED_ASK.png,17_PETRIFIED_HOAT.png,HOAT,,,,,,HOAT,17_PETRIFIED_HOAT.png,MELK,17_PETRIFIED_MELK.png,MELK,17_PETRIFIED_MELK.png,,14,14
21,1702982999316,19/12/2023 10:49:59,1702982999316,0,19/12/2023 10:49:59,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,15,Testing01,Testing,hvzr65,1,response,13_GRYFFINDOR_MELK.png,1519.0000000476866,1515.6000000000058,1519.0000000476866,1519.0000000476866,1515.6000000000058,1519.0000000476866,1,1519.0000000476866,0,0,,Click Response,LeftOption,4,object-85,Testing01,3,_,,HDM,35,HDM_35,13_GRYFFINDOR,,ASK,.png,13_GRYFFINDOR_ASK.png,13_GRYFFINDOR_MELK.png,MELK,,,,,,MELK,13_GRYFFINDOR_MELK.png,DAIN,13_GRYFFINDOR_DAIN.png,DAIN,13_GRYFFINDOR_DAIN.png,,15,15
22,1702983003795,19/12/2023 10:50:03,1702983003795,0,19/12/2023 10:50:03,157165,2,task-88ng,,33776702,BLIND,9991143,,complete,,658173a679fe07d82c5d1c45,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1912x966,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,16,Testing01,Testing,hvzr65,1,response,11_WAND_HOAT.png,4484.1000000953645,4468.799999999996,4484.1000000953645,4484.1000000953645,4468.799999999996,4484.1000000953645,1,4484.1000000953645,0,0,,Click Response,RightOption,3,object-86,Testing01,3,_,,HDM,34,HDM_34,11_WAND,,ASK,.png,11_WAND_ASK.png,11_WAND_HOAT.png,HOAT,,,,,,DAIN,11_WAND_DAIN.png,HOAT,11_WAND_HOAT.png,DAIN,11_WAND_DAIN.png,,16,16
